Alpha,Energy,Energy2,TimeElapsed
0,24.73178785304196,635.3184703937208,801.1672982s
0.01,28.064424398264073,798.8049041365499,814.1952292s
0.02,27.95500855306846,782.9934279223831,826.3539368s
0.03,32.954262528224994,1094.274136235744,839.8088759s
0.04,33.95791861133573,1160.3063371218307,853.4046931s
0.05,40.69440258660465,1669.1325217218996,866.063557s
0.06,41.82649799930151,1753.8253170888083,878.2793211s
0.07,43.029335728431334,1850.547478186181,890.8181305s
0.08,46.23605636616869,2140.334775098624,903.4725659s
0.09,48.931591967235356,2389.284741557358,920.7165265s
0.1,50.24148273704906,2516.433575660885,933.1800624s
0.11,55.95482054082566,3125.020781373051,944.849551s
0.12,57.40075417022571,3282.4860785337,957.5968083s
0.13,59.81374448853628,3560.003986289867,971.9190408s
0.14,64.32216926109952,4112.192476809134,984.5508763s
0.15,65.14061562882442,4215.042127833248,996.6684997s
0.16,66.67119858109797,4418.320987348492,1008.6863744s
0.17,71.81363392194092,5127.999239110859,1019.2907421s
0.18,74.45161324454824,5508.917155614496,1030.0648269s
0.19,76.08670039625383,5752.104991263407,1042.2674974s
0.2,79.76225009118369,6322.908602237555,1058.3489008s
0.21,81.26807897435995,6558.271682339155,1073.2430811s
0.22,83.26199314646148,6885.278015399654,1089.3363546s
0.23,86.35364824572174,7406.22090818616,1100.5336513s
0.24,90.59924625383658,8149.267587874808,1109.5994182s
0.25,93.1192847033601,8608.714393020833,1119.7612143s
0.26,92.82926412785572,8554.212252012354,1128.6907477s
0.27,94.98053523398715,8953.208751114606,1138.254368s
0.28,97.82090568711035,9495.034285218719,1150.2051836s
0.29,101.83583720910045,10290.644966792666,1161.420464s
0.3,103.52822709836839,10634.747358413619,1173.4987154s
0.31,105.84933931352965,11119.670234549896,1187.2708402s
0.32,108.90614836064438,11768.30706890207,1200.7586155s
0.33,111.16121957334036,12262.084020402806,1214.7654147s
0.34,113.25826562947145,12727.603050643207,1227.0352042s
0.35,117.25009627272452,13641.472486174667,1240.3564425s
0.36,117.22152666015891,13633.147312943427,1252.5003405s
0.37,120.69148504808855,14452.7796937919,1264.0554227s
0.38,124.16109621888957,15295.489220606874,1271.8503332s
0.39,125.66474141642627,15667.101174529698,1279.1029603s
0.4,127.8050960006809,16205.25987942627,1286.2034504s
0.41,130.3485968317636,16856.479349753576,1293.2171083s
0.42,132.9818660080725,17544.313700245704,1301.1986237s
0.43,134.6106987880475,17976.608784990814,1308.052499s
0.44,137.43445735092362,18738.76507232459,1315.2258959s
0.45,140.09377591851188,19470.841990397574,1322.3287291s
0.46,141.7935739771062,19945.987372839845,1329.0763129s
0.47,144.38057799347118,20680.407403845486,1338.0746389s
0.48,146.66971377283875,21341.30765380332,1347.4253053s
0.49,148.8655939790994,21985.09643778546,1354.3848571s
0.5,151.2000062458654,22680.001873760197,1361.4461226s
0.51,153.49440884000106,23373.5492597837,1368.9067972s
0.52,155.784190706962,24076.12484876131,1375.5508568s
0.53,158.16866286076203,24818.795656657865,1382.174982s
0.54,160.42935795665102,25533.399744494975,1388.8310593s
0.55,162.7062276786765,26263.35783024553,1395.2145133s
0.56,165.1580956494048,27060.87808538117,1401.0667527s
0.57,166.83908253465148,27614.72561042854,1406.8256037s
0.58,168.7104709800935,28237.87750060717,1413.4748423s
0.59,171.74809448038985,29263.462811811933,1418.8730119s
0.6,172.8049961080335,29625.42918133596,1425.5452942s
0.61,176.36155773591616,30857.478793586368,1431.3105387s
0.62,177.82594545585542,31372.256867014483,1436.6573361s
0.63,180.70556656126863,32397.617400246134,1442.4403195s
0.64,182.73608436779958,33128.682367188194,1447.6615555s
0.65,184.07919091310612,33619.054690791025,1452.8777885s
0.66,187.54703974168905,34895.24365918864,1457.3420855s
0.67,187.8369051690552,35005.06949725484,1462.0852731s
0.68,191.23796568657758,36283.71376260353,1466.4571341s
0.69,192.2491796740417,36668.34433613085,1471.2901114s
0.7,194.59339594762537,37568.29550905279,1475.5667556s
0.71,196.60447916463633,38349.5164825492,1479.4208628s
0.72,200.68016456640137,39955.62113578901,1483.1936081s
0.73,201.81959755615145,40410.73052090759,1486.6148746s
0.74,202.4804759387866,40674.59601336611,1490.2641771s
0.75,204.86029251901027,41640.851667016,1493.5573617s
0.76,206.53224351626505,42329.11719114488,1497.064838s
0.77,209.6712348828379,43619.210658648604,1500.2663245s
0.78,210.8031796091481,44093.873146609105,1503.9194856s
0.79,214.75003887943026,45755.34768520115,1506.9686431s
0.8,212.84034320247773,44954.63924432101,1510.2583128s
0.81,217.843849283799,47084.709563589466,1513.7526752s
0.82,218.79860933602242,47500.023919922634,1517.1343654s
0.83,219.92981240814697,47992.45369552776,1520.1727106s
0.84,222.7808898639512,49241.28176664668,1523.1818986s
0.85,225.51369958147714,50469.76032374024,1526.6389082s
0.86,227.26958739242392,51250.20921568386,1530.0084724s
0.87,230.18155897812798,52571.36810484193,1533.3766325s
0.88,227.49175094473244,51364.02037035954,1536.842276s
0.89,229.87139383015966,52439.002868600146,1540.3252828s
