Alpha,Energy
0.05555555555555555,769.8895652767196
0.1111111111111111,1268.7961248252134
0.16666666666666666,1710.8481470736613
0.2222222222222222,1874.4249959678325
0.2777777777777778,2332.8993369377195
0.3333333333333333,2316.65760851538
0.3888888888888889,1532.7699381747943
0.4444444444444444,2296.46805934355
0.5,3283.6774217779903
0.5555555555555556,3102.5176222540845
0.6111111111111112,3019.3127939889005
0.6666666666666666,3520.584503299284
0.7222222222222222,3049.4403636513866
0.7777777777777778,4304.610467773054
0.8333333333333334,3895.22902867877
0.8888888888888888,3865.8005317238153
0.9444444444444444,4367.40602890631
1,5284.917595594276
