Alpha,Energy
0.05555555555555555,51941.700807193905
0.1111111111111111,369.6982759787775
0.16666666666666666,759.2359105859229
0.2222222222222222,283737.6249906906
0.2777777777777778,828.2923014402164
0.3333333333333333,530.9975149533925
0.3888888888888889,978.7057082572593
0.4444444444444444,53157.98408072648
0.5,1378.4744306431812
0.5555555555555556,2142.197126480395
0.6111111111111112,272988.4017020724
0.6666666666666666,1049.0240973592888
0.7222222222222222,1770.4084726591088
0.7777777777777778,1244.396493962374
0.8333333333333334,3833.4021911032823
0.8888888888888888,1362.7714628536735
0.9444444444444444,1667.5176650298722
1,210023.9863906018
