Alpha,Energy,Energy2,TimeElapsed
0,210.79994284522184,44436.615903548794,59.9986ms
0.01,137.69756785411585,18960.620192938837,68.9619ms
0.02,1151.8223906986007,1326694.8197146398,75.0299ms
0.03,710.6068714112781,504962.12569692475,87.975ms
0.04,1563.2762092494227,2443832.5064052446,93.011ms
0.05,986.3782284779738,972942.009615346,105.8506ms
0.06,1929.4862103759258,3722917.0360308513,116.6438ms
0.07,821.0957030162698,674198.1535117823,123.8096ms
0.08,1181.5318607926981,1396017.5380682559,139.3475ms
0.09,1125.386721265744,1266495.2724012614,152.974ms
0.1,1174.8308341942852,1380227.4889736401,182.5936ms
0.11,1381.8181896932238,1909421.509367058,199.1591ms
0.12,814.2586131403045,663017.0890731721,211.081ms
0.13,1264.313761014173,1598489.2862898035,220.9427ms
0.14,1265.1799059268865,1600680.1943611654,227.7163ms
0.15,1049.661461372356,1101789.18349035,235.2473ms
0.16,988.6600188139878,977448.6328012747,241.3168ms
0.17,987.5086877837649,975173.4084484132,253.3089ms
0.18,905.2985667910325,819565.4950338976,260.2878ms
0.19,839.8757826463036,705391.330275741,272.5458ms
0.2,786.4471371977215,618499.0996064919,279.7468ms
0.21,731.490759361152,535078.7310307547,302.2929ms
0.22,686.7240726267361,471589.9519250507,308.7978ms
0.23,647.255356334147,418939.4963032436,319.2591ms
0.24,599.8136939671055,359776.4674704644,328.0261ms
0.25,570.7751721514408,325784.2971445068,333.1821ms
0.26,532.5900253657642,283652.13511910534,343.6404ms
0.27,495.2827054105437,245304.95827878744,349.4468ms
0.28,458.3815340946146,210113.63079893234,355.076ms
0.29,430.14047032539344,185020.82421175067,363.0978ms
0.3,409.0011187276662,167281.9151204825,369.5853ms
0.31,375.13131339327333,140723.50228816224,381.1767ms
0.32,353.10731443534314,124684.7755077403,389.0333ms
0.33,319.21660287552197,101899.2395513887,395.6056ms
0.34,301.9208566269065,91156.20366632505,404.5606ms
0.35000000000000003,285.0043218065658,81227.46344842053,411.1265ms
0.36,250.4192559579051,62709.803754510795,418.4611ms
0.37,230.63790007311857,53193.84095013783,426.8462ms
0.38,210.19401110338387,44181.52230372946,437.1301ms
0.39,187.83262825874826,35281.09623858912,444.7985ms
0.4,171.59470889973664,29444.74412238536,454.978ms
0.41000000000000003,153.2560511697867,23487.41722015628,460.3898ms
0.42,131.34617215489118,17251.81693974231,466.446ms
0.43,117.17104323610221,13729.053373036533,476.7159ms
0.44,102.08324640351776,10420.989196281322,484.6233ms
0.45,79.34829983779383,6296.152687148433,500.2612ms
0.46,62.995873695042754,3968.4801026017794,507.6197ms
0.47000000000000003,46.67326642227742,2178.393798524889,518.1823ms
0.48,33.05122670200886,1092.3835865075835,534.9896ms
0.49,16.114688103925378,259.6831726867941,540.8947ms
0.5,0.5,0.25,547.2061ms
0.51,-14.359587867267503,206.1977637177761,556.6567ms
0.52,-28.873183839090313,833.660745005906,567.8351ms
0.53,-46.118138282513314,2126.88267864502,580.0001ms
0.54,-58.07700214861025,3372.938178569679,588.5355ms
0.55,-71.15955920137621,5063.682865734166,605.3272ms
0.56,-85.83459765514365,7367.5781546203925,620.777ms
0.5700000000000001,-100.30320882586399,10060.73370076488,647.7312ms
0.58,-114.24448726670683,13051.802870832738,653.5053ms
0.59,-128.27273013873224,16453.893297244027,658.921ms
0.6,-138.02576635487935,19051.112177851744,675.8625ms
0.61,-152.31471281864444,23199.77174102613,694.7416ms
0.62,-169.47149187382894,28720.586557941268,720.7608ms
0.63,-173.57057326367269,30126.74390307997,726.5011ms
0.64,-185.8787715481266,34550.91771224064,736.8676ms
0.65,-201.7952697353507,40721.330887562945,747.579ms
0.66,-213.89083957343178,45749.29125342753,753.4685ms
0.67,-223.0672984851165,49759.019653448064,761.1757ms
0.68,-241.48310503766314,58314.09001863105,770.6406ms
0.6900000000000001,-251.52349187911324,63264.06696706234,778.8768ms
0.7000000000000001,-256.28051768768387,65679.70374626725,787.8948ms
0.71,-270.6998668955847,73278.41793728727,797.0998ms
0.72,-277.8595733558613,77205.94250550127,804.1761ms
0.73,-301.68252318643596,91012.34479613446,815.6493ms
0.74,-319.01537852607527,101770.81173613509,826.0011ms
0.75,-325.84712417404506,106176.34833249555,844.0493ms
0.76,-333.2937461611825,111084.72123015477,852.5384ms
0.77,-340.30034322723134,115804.32360057146,862.0442ms
0.78,-350.320249239511,122724.2770272331,869.3046ms
0.79,-380.41611595406005,144716.42127757287,877.0691ms
0.8,-385.37583503814045,148514.53423134403,885.5754ms
0.81,-390.2305293767837,152279.86605768485,894.8301ms
0.8200000000000001,-388.82378861410996,151183.93859223006,901.8105ms
0.8300000000000001,-406.8039946839177,165489.49009079297,908.9602ms
0.84,-419.8203385916254,176249.116695187,918.7595ms
0.85,-414.4275719424811,171750.21238614037,932.905ms
0.86,-426.7549548942093,182119.7915267586,940.074ms
0.87,-447.0782444322213,199878.95664459703,946.9717ms
0.88,-465.09859394136686,216316.70208623644,957.3632ms
0.89,-464.904407018768,216136.1076654723,972.789ms
0.9,-469.4464879318148,220380.00503151552,980.0119ms
