Alpha,Energy,Energy2,TimeElapsed
0,15.057952161557896,285.7126420588989,604.1928501s
0.01,4.950017097097887,29.767315803244223,604.2041485s
0.02,6.5948905013098305,52.689304111869646,604.215264s
0.03,2.1823222046727246,6.461354275783845,604.2299672s
0.04,2.0925582852395492,5.610969205297195,604.2369537s
0.05,4.543804451483222,23.417378239292542,604.244007s
0.06,5.655948164742276,42.29261729485744,604.2513285s
0.07,6.239143864041702,45.63730458387157,604.2590332s
0.08,9.163819644430271,108.22549095954,604.2695443s
0.09,2.162142034795104,6.279294947443914,604.2777815s
0.1,4.893069149247079,34.77745909001468,604.2894304s
0.11,3.1961126969532425,13.817496906740104,604.3039357s
0.12,5.801374617451625,37.25958219171847,604.3263024s
0.13,3.0292663262232766,11.94046586026913,604.337988s
0.14,2.7400169376941377,9.254572958756823,604.3463642s
0.15,1.4573891540800423,2.486261213130903,604.3581582s
0.16,2.7694844631796056,9.038452703975443,604.3679505s
0.17,1.3275362185835615,2.1294455691342913,604.3787564s
0.18,1.9930367496023924,5.241020034594039,604.3881581s
0.19,2.45736111449346,7.06220919038932,604.397272s
0.2,2.01852122883368,4.7224544253885625,604.4037789s
0.21,1.596277656592815,2.750990266237797,604.4187929s
0.22,2.5461949782098916,7.106720768183257,604.4298775s
0.23,1.8894627761271359,4.131286419579157,604.4383631s
0.24,1.7895181251663392,3.804734143852801,604.4506452s
0.25,1.7357620248099979,3.3130551486174835,604.459046s
0.26,2.758867925953612,8.832742577035301,604.4674281s
0.27,1.54948751097039,2.600978582842597,604.4776654s
0.28,2.0967058898458295,5.578533060756765,604.4847462s
0.29,1.774803712846057,3.3894557592908616,604.4935385s
0.3,1.7392408046061707,3.4209597083027354,604.500976s
0.31,1.4412004844752049,2.1656107363941866,604.5094267s
0.32,1.8671560203270716,3.816491269695608,604.5191086s
0.33,2.014114244598694,4.603556144894991,604.5288154s
0.34,2.071041156159746,4.610897017446191,604.54033s
0.35,1.381177295946043,1.945545808706722,604.5541176s
0.36,1.4912925655996674,2.270606348382444,604.5703387s
0.37,1.5803511951027487,2.5937907847684762,604.5859874s
0.38,1.5911445745511035,2.643326294186664,604.6028527s
0.39,1.6827205929760556,3.0532760291540506,604.6180187s
0.4,1.5848231074255994,2.714338510414712,604.6351306s
0.41,1.501482019636304,2.263798961878838,604.6555082s
0.42,1.5066086658883515,2.271974379563275,604.6685022s
0.43,1.5362991702324884,2.3708084190925858,604.6774692s
0.44,1.4985903883422294,2.23830090307012,604.6889855s
0.45,1.5308659468181447,2.34043759869752,604.7006776s
0.46,1.5294532332934416,2.332854229264118,604.7096483s
0.47,1.553855019768017,2.408674023928801,604.7226841s
0.48,1.5253771474588833,2.3105496174160485,604.7403734s
0.49,1.513647832687714,2.2734555202656277,604.7513978s
0.5,1.511999998944562,2.2679999968336872,604.7588098s
0.51,1.5254871262383225,2.308802902386869,604.7726665s
0.52,1.5117142749563515,2.268951184168451,604.7853055s
0.53,1.4979391632199093,2.2330027114900206,604.7994851s
0.54,1.5532622873642608,2.3960583231429045,604.8128271s
0.55,1.5470497705880935,2.387170189822508,604.8205235s
0.56,1.4817908843594845,2.1886239451432306,604.8345296s
0.57,1.5362499574909605,2.362719709674964,604.8536666s
0.58,1.280980451479951,1.7155373425735292,604.8711968s
0.59,1.5085243236185715,2.299997433545399,604.8891039s
0.6,1.5016371614930395,2.268676597084802,604.9086295s
0.61,1.4906807908344166,2.275113981805082,604.9215929s
0.62,1.6721243233132335,2.790683706827653,604.939198s
0.63,1.4662225989482116,2.289294528440702,604.9545139s
0.64,1.5589698165921189,2.4768298536549276,604.9710886s
0.65,1.5308748779897086,2.4167495774853722,604.9878837s
0.66,1.6941675403598206,2.8822244168884663,605.0073306s
0.67,1.6991518101992766,2.9108916504978075,605.0211193s
0.68,1.7219748709410778,3.024408917009297,605.0327625s
0.69,1.6800754591865346,2.857374768588674,605.03975s
0.7,1.5426111665983206,2.5202235758722136,605.0563744s
0.71,1.5334901940937276,2.480955322005121,605.0651409s
0.72,1.5889024842125359,2.750028059177722,605.0771514s
0.73,1.6694535608771779,2.8888926351290687,605.0833165s
0.74,1.5548593789570295,2.7006264620293083,605.0959944s
0.75,1.7013178388391346,2.984583790646226,605.101918s
0.76,1.8479914544324159,3.471096585369588,605.1129242s
0.77,1.3512222434518573,2.220988386232239,605.1201814s
0.78,1.5126534216761622,2.6192883288935147,605.1305826s
0.79,1.3916678420275297,2.621812115447631,605.1521811s
0.8,1.9490060482195368,3.8752465647103107,605.165992s
0.81,1.6882472635283807,3.103113722969081,605.1864737s
0.82,1.8528450794440356,3.6651738646207392,605.192583s
0.83,1.4983902939460905,2.8822268723642974,605.1988355s
0.84,1.670544024541136,3.1458909328635065,605.2141729s
0.85,1.9724374491798933,4.1508135683470995,605.2329339s
0.86,1.8158243048733909,3.6028964457987223,605.2495342s
0.87,1.9250388436449954,3.991089005833024,605.2647806s
0.88,1.627940013483958,3.1052126888361555,605.2836107s
0.89,1.884328975844869,3.99797380059204,605.3023056s
