N,Dim,Alpha,Energy
1,1,0.2,0.7090945460661935
1,1,0.25,0.6527928134296924
1,1,0.3,0.5207676227530942
1,1,0.35,0.5297240099639653
1,1,0.4,0.5192356298678997
1,1,0.45,0.5107864918558371
1,1,0.5,0.5000499993506338
1,1,0.55,0.49754167138077265
1,1,0.6,0.5093803617836455
1,1,0.65,0.525241873799714
1,1,0.7,0.5253166903927604
1,1,0.75,0.5126869251997014
1,1,0.8,0.5488264575528672
10,1,0.2,7.857616979475739
10,1,0.25,6.82552685776449
10,1,0.3,5.20251562972589
10,1,0.35,5.176014955963385
10,1,0.4,5.091852812515842
10,1,0.45,4.933091258407562
10,1,0.5,5.000499981992372
10,1,0.55,4.971588525185945
10,1,0.6,5.200258793092945
10,1,0.65,5.278362064134953
10,1,0.7,5.439542037288315
10,1,0.75,5.329172763079861
10,1,0.8,5.5193651155146455
100,1,0.2,50.72015351953427
100,1,0.25,53.90660626215234
100,1,0.3,48.53314436907573
100,1,0.35,50.60821567746778
100,1,0.4,48.492733015330124
100,1,0.45,50.0817269913125
100,1,0.5,50.00500033690855
100,1,0.55,50.974378454950504
100,1,0.6,51.14982668434474
100,1,0.65,52.81987462764522
100,1,0.7,54.89037934278448
100,1,0.75,55.4229542024393
100,1,0.8,56.256068521588155
1,2,0.2,1.551237478545731
1,2,0.25,1.2981500924992109
1,2,0.3,1.0589667420666975
1,2,0.35,1.0613864441474663
1,2,0.4,0.9986027591859045
1,2,0.45,1.0048146656828028
1,2,0.5,1.0000999984414372
1,2,0.55,1.0105110438631595
1,2,0.6,1.0051644643021393
1,2,0.65,1.025663381990784
1,2,0.7,1.0781955684800226
1,2,0.75,1.0651285829151762
1,2,0.8,1.0893834902523958
10,2,0.2,13.612371499892129
10,2,0.25,11.121203782228472
10,2,0.3,11.551084487711154
10,2,0.35,11.29517331900834
10,2,0.4,10.431337773610508
10,2,0.45,10.03246326171159
10,2,0.5,10.000999983360101
10,2,0.55,9.949301512787962
10,2,0.6,9.909704559531892
10,2,0.65,10.37598565551643
10,2,0.7,10.388649329595168
10,2,0.75,10.9465535707616
10,2,0.8,11.582390973210368
100,2,0.2,107.94844564187713
100,2,0.25,108.54747280045484
100,2,0.3,100.78408998849497
100,2,0.35,98.19077956128281
100,2,0.4,97.53114293483017
100,2,0.45,100.06487862797624
100,2,0.5,100.00998929077394
100,2,0.55,101.33556861628063
100,2,0.6,104.1316190697407
100,2,0.65,104.6690571393814
100,2,0.7,102.93638924733914
100,2,0.75,111.66074767581425
100,2,0.8,117.77022841101112
1,3,0.2,2.348356861772206
1,3,0.25,1.6914558674022502
1,3,0.3,1.7712802877320388
1,3,0.35,1.6235285417198766
1,3,0.4,1.547982438678833
1,3,0.45,1.5121732132034393
1,3,0.5,1.5001499981500295
1,3,0.55,1.4891261643683442
1,3,0.6,1.5279215074003982
1,3,0.65,1.577649859384228
1,3,0.7,1.652062530426879
1,3,0.75,1.6971766641938761
1,3,0.8,1.6925598840201637
10,3,0.2,21.803657854927494
10,3,0.25,20.35370897339621
10,3,0.3,17.924083460229998
10,3,0.35,15.960888703056447
10,3,0.4,15.37167150047915
10,3,0.45,15.298785616130909
10,3,0.5,15.001500101170613
10,3,0.55,15.062502779211668
10,3,0.6,15.137658140796834
10,3,0.65,15.546609380664856
10,3,0.7,15.6993190657145
10,3,0.75,16.23879443442156
10,3,0.8,17.011169927915134
100,3,0.2,157.68653886591713
100,3,0.25,156.91709301943297
100,3,0.3,147.59519415720007
100,3,0.35,148.2237022642412
100,3,0.4,148.4277768649385
100,3,0.45,148.09526200259225
100,3,0.5,150.01499985817472
100,3,0.55,151.69777332032422
100,3,0.6,155.8714792577949
100,3,0.65,161.32873562380766
100,3,0.7,164.16898740911182
100,3,0.75,163.83996529261145
100,3,0.8,170.23101812355702
