N,Dim,Alpha,Energy
1,1,0.2,0.5607789378975695
1,1,0.25,0.6084522610509878
1,1,0.3,0.5927462031698073
1,1,0.35,0.507752392491589
1,1,0.4,0.49537517620164245
1,1,0.45,0.5169089703082149
1,1,0.5,0.5000499997332049
1,1,0.55,0.503805166325796
1,1,0.6,0.5061492994473527
1,1,0.65,0.5238816594211944
1,1,0.7,0.543357628274766
1,1,0.75,0.5236229803455358
1,1,0.8,0.5199867257457134
10,1,0.2,8.29659780889157
10,1,0.25,5.7596587732349
10,1,0.3,5.661570373553435
10,1,0.35,5.151265129409407
10,1,0.4,5.236727121306597
10,1,0.45,5.060830292525436
10,1,0.5,5.000499985046509
10,1,0.55,4.980804565308153
10,1,0.6,5.1001143947051615
10,1,0.65,5.150731616802425
10,1,0.7,5.376185827692621
10,1,0.75,5.360549795967264
10,1,0.8,5.408551368799961
100,1,0.2,57.07604273049983
100,1,0.25,52.88731663401127
100,1,0.3,49.15039527622405
100,1,0.35,47.998253031418585
100,1,0.4,50.16183565531719
100,1,0.45,50.01668492803604
100,1,0.5,50.00499963074756
100,1,0.55,50.189770943313
100,1,0.6,51.69218011967759
100,1,0.65,53.83912732957746
100,1,0.7,53.718462632707904
100,1,0.75,56.15392108533387
100,1,0.8,60.93314167862828
1,2,0.2,1.3984400591525907
1,2,0.25,1.3264682546179039
1,2,0.3,1.125422161871454
1,2,0.35,1.0760960663929287
1,2,0.4,0.9949132455045323
1,2,0.45,1.000025242028553
1,2,0.5,1.000099999454059
1,2,0.55,1.013302941683163
1,2,0.6,1.0377529149446478
1,2,0.65,1.0415007496577335
1,2,0.7,1.0268048246807213
1,2,0.75,1.1474020004912866
1,2,0.8,1.096368898387553
10,2,0.2,15.26870244841669
10,2,0.25,12.721970616205457
10,2,0.3,11.246242846128606
10,2,0.35,10.286368891442608
10,2,0.4,10.205256315207242
10,2,0.45,10.205971664189613
10,2,0.5,10.001000062689616
10,2,0.55,9.919382019324715
10,2,0.6,10.056223004423405
10,2,0.65,10.499487511669582
10,2,0.7,10.535066567136628
10,2,0.75,10.900088455985536
10,2,0.8,10.843527137831376
100,2,0.2,100.50429271201612
100,2,0.25,104.74018195408749
100,2,0.3,100.51503782321322
100,2,0.35,101.24480287105952
100,2,0.4,98.02087760841466
100,2,0.45,99.20554085170753
100,2,0.5,100.01000023091147
100,2,0.55,101.63605955920383
100,2,0.6,103.3544452031717
100,2,0.65,101.38585995740864
100,2,0.7,110.77737377325077
100,2,0.75,108.6367800321616
100,2,0.8,115.06503011350806
1,3,0.2,2.2756470405027067
1,3,0.25,1.7744493222833473
1,3,0.3,1.7397853726115038
1,3,0.35,1.5458042306241484
1,3,0.4,1.5506446193496606
1,3,0.45,1.50661521721109
1,3,0.5,1.5001499985699152
1,3,0.55,1.5111905559589873
1,3,0.6,1.5301190611330198
1,3,0.65,1.559267285293887
1,3,0.7,1.5727847288607388
1,3,0.75,1.5895209206912797
1,3,0.8,1.7113193297160805
10,3,0.2,21.9833989675124
10,3,0.25,19.593850493896483
10,3,0.3,16.38756409026369
10,3,0.35,15.860638575647611
10,3,0.4,14.925702981908264
10,3,0.45,14.870437867974333
10,3,0.5,15.001499905031503
10,3,0.55,15.040024502930573
10,3,0.6,15.422871654501837
10,3,0.65,15.266458500058638
10,3,0.7,16.01975596359813
10,3,0.75,16.697221979834026
10,3,0.8,16.91552606419189
100,3,0.2,158.97235387114222
100,3,0.25,156.96647833900553
100,3,0.3,154.3389273225294
100,3,0.35,145.93086123144036
100,3,0.4,150.30268317093316
100,3,0.45,148.9804902991731
100,3,0.5,150.01500468602376
100,3,0.55,152.8904918276746
100,3,0.6,155.4951893311333
100,3,0.65,158.44871215956232
100,3,0.7,162.30758391375286
100,3,0.75,162.2108211445418
100,3,0.8,171.12760682287143
