N,Dim,Alpha,Energy
1,1,0.2,0.6256662542449518
1,1,0.25,0.6497934469984652
1,1,0.3,0.548263626250477
1,1,0.35,0.552382461960925
1,1,0.4,0.48469170229715847
1,1,0.45,0.5012948316634921
1,1,0.5,0.5000499996899732
1,1,0.55,0.5089802543306481
1,1,0.6,0.4989833653476966
1,1,0.65,0.5169844969491866
1,1,0.7,0.5339862589498121
1,1,0.75,0.5534299002838959
1,1,0.8,0.5564131881420457
10,1,0.2,7.944697225996919
10,1,0.25,6.830145419757713
10,1,0.3,5.324531079615729
10,1,0.35,5.471426092459632
10,1,0.4,5.080037700445441
10,1,0.45,4.961844150489599
10,1,0.5,5.00049997396307
10,1,0.55,5.045438447382045
10,1,0.6,5.223332690486162
10,1,0.65,5.213558154621148
10,1,0.7,5.183316330233331
10,1,0.75,5.210119393498335
10,1,0.8,5.422920223447381
100,1,0.2,54.00883805600725
100,1,0.25,56.58150283498116
100,1,0.3,47.607692675631256
100,1,0.35,48.97651591196205
100,1,0.4,51.93652511387047
100,1,0.45,49.734117631932165
100,1,0.5,50.00499746014069
100,1,0.55,50.833707929809336
100,1,0.6,51.81751981494132
100,1,0.65,52.90419745187985
100,1,0.7,55.0894424197533
100,1,0.75,55.80330043696298
100,1,0.8,58.844870568955436
1,2,0.2,1.3818653600016684
1,2,0.25,1.393340966410336
1,2,0.3,1.1768472374334198
1,2,0.35,1.1072428319458367
1,2,0.4,1.0452972080145881
1,2,0.45,0.996391155995048
1,2,0.5,1.0000999991488078
1,2,0.55,1.0066477248196761
1,2,0.6,1.0192469923092031
1,2,0.65,1.0311585044862186
1,2,0.7,1.076647368185877
1,2,0.75,1.079464509168543
1,2,0.8,1.1182305642440538
10,2,0.2,14.901440855118055
10,2,0.25,12.947174802950746
10,2,0.3,11.23062216901136
10,2,0.35,10.658149664325954
10,2,0.4,10.55467683042862
10,2,0.45,10.090242821958471
10,2,0.5,10.000999874558538
10,2,0.55,10.03696751932652
10,2,0.6,10.171167454700603
10,2,0.65,10.724241915567196
10,2,0.7,10.864437239284978
10,2,0.75,10.829274848359555
10,2,0.8,11.313160207545451
100,2,0.2,119.12938992673769
100,2,0.25,101.4786306402622
100,2,0.3,97.9427164983194
100,2,0.35,102.80225718403416
100,2,0.4,97.87146429492222
100,2,0.45,99.14144200996887
100,2,0.5,100.01000040715363
100,2,0.55,101.90889886088286
100,2,0.6,103.58433856423345
100,2,0.65,105.98626802816769
100,2,0.7,104.63522638905656
100,2,0.75,107.38987073737188
100,2,0.8,109.2057297450264
1,3,0.2,1.9838583648229515
1,3,0.25,1.7556601468894744
1,3,0.3,1.5589766455740757
1,3,0.35,1.5976655795551449
1,3,0.4,1.5181449160797051
1,3,0.45,1.511185908060734
1,3,0.5,1.500149998557953
1,3,0.55,1.509484870534988
1,3,0.6,1.520069643175021
1,3,0.65,1.54824147035455
1,3,0.7,1.6189055515344088
1,3,0.75,1.6285964980681464
1,3,0.8,1.7021454983299495
10,3,0.2,22.110870378336347
10,3,0.25,18.0517781338292
10,3,0.3,16.429807679659977
10,3,0.35,15.280352717407249
10,3,0.4,15.983938900886017
10,3,0.45,15.124340764334763
10,3,0.5,15.001500211335916
10,3,0.55,15.080817730504519
10,3,0.6,15.350077761055255
10,3,0.65,15.5637884924547
10,3,0.7,15.463615271292872
10,3,0.75,16.5276879035869
10,3,0.8,16.681591514378617
100,3,0.2,157.66132614191375
100,3,0.25,150.39608033474218
100,3,0.3,152.2112387593866
100,3,0.35,149.4803712329123
100,3,0.4,148.91616681710045
100,3,0.45,148.99198124383258
100,3,0.5,150.01499606388327
100,3,0.55,152.8916861054228
100,3,0.6,151.06906442466718
100,3,0.65,158.1214161084455
100,3,0.7,160.28607454891176
100,3,0.75,164.96457683474637
100,3,0.8,171.45825100336367
