N,Dim,Alpha,Energy
1,1,0.2,0.6257508944662385
1,1,0.25,0.6593826388887013
1,1,0.3,0.5792146577195083
1,1,0.35,0.5619417310689324
1,1,0.4,0.5166975805402299
1,1,0.45,0.504087642087319
1,1,0.5,0.5000499998938948
1,1,0.55,0.5064077661185912
1,1,0.6,0.5210816598215458
1,1,0.65,0.5070283669271476
1,1,0.7,0.5025064547253273
1,1,0.75,0.5374295807311221
1,1,0.8,0.5353647702790878
10,1,0.2,7.4843696521723935
10,1,0.25,5.967480294879144
10,1,0.3,5.846832798918195
10,1,0.35,5.738425916378647
10,1,0.4,4.985328766197788
10,1,0.45,5.123936909313513
10,1,0.5,5.000499978313344
10,1,0.55,5.001908283002141
10,1,0.6,4.903424605953823
10,1,0.65,5.0941067363177215
10,1,0.7,5.330465572398695
10,1,0.75,5.3584610554098315
10,1,0.8,5.380198439559902
100,1,0.2,58.77952605043892
100,1,0.25,53.977123528281474
100,1,0.3,50.43104828537271
100,1,0.35,52.45517012256271
100,1,0.4,49.86169523830622
100,1,0.45,49.062865830243815
100,1,0.5,50.004999356296885
100,1,0.55,50.17118267586749
100,1,0.6,50.387397832598644
100,1,0.65,51.39913366590668
100,1,0.7,53.115632943421694
100,1,0.75,53.57846612742852
100,1,0.8,55.76477238482774
1,2,0.2,1.4734902625577864
1,2,0.25,1.3473065210812118
1,2,0.3,1.141167882093862
1,2,0.35,1.060962074215802
1,2,0.4,1.0613764992765773
1,2,0.45,0.9938011674344327
1,2,0.5,1.0000999978540224
1,2,0.55,0.9983409543012258
1,2,0.6,1.0230047813891965
1,2,0.65,1.0609565035975113
1,2,0.7,1.043532019612588
1,2,0.75,1.0650618138566093
1,2,0.8,1.0718059285966937
10,2,0.2,12.983921722122563
10,2,0.25,12.155751454791048
10,2,0.3,11.905516675800952
10,2,0.35,10.79812259553488
10,2,0.4,9.905520995300725
10,2,0.45,10.151107724581227
10,2,0.5,10.000999981172516
10,2,0.55,10.133363841336275
10,2,0.6,9.961115904342972
10,2,0.65,10.193429501438782
10,2,0.7,10.662705826389656
10,2,0.75,10.344512797016735
10,2,0.8,10.881964429810642
100,2,0.2,112.14891218131017
100,2,0.25,109.37979947738617
100,2,0.3,102.17060157441072
100,2,0.35,96.32199091223053
100,2,0.4,97.32137985192146
100,2,0.45,99.46344325994126
100,2,0.5,100.00999862172138
100,2,0.55,101.34296379437112
100,2,0.6,102.74360256695614
100,2,0.65,107.849740624157
100,2,0.7,107.76785630372532
100,2,0.75,110.51110808144114
100,2,0.8,116.97072826001681
1,3,0.2,2.3021270426628533
1,3,0.25,1.9705692052818216
1,3,0.3,1.7333159251495658
1,3,0.35,1.695338878016967
1,3,0.4,1.52454032147091
1,3,0.45,1.518462351550228
1,3,0.5,1.500149999207845
1,3,0.55,1.5005223395415683
1,3,0.6,1.5207916373774768
1,3,0.65,1.564787799075092
1,3,0.7,1.5773458609386015
1,3,0.75,1.6456185833259596
1,3,0.8,1.6593315969694868
10,3,0.2,19.046485004758935
10,3,0.25,18.280475790303083
10,3,0.3,17.401792525009817
10,3,0.35,15.60571312333114
10,3,0.4,15.455765832032947
10,3,0.45,14.874881079925501
10,3,0.5,15.00150009179912
10,3,0.55,14.996668548248033
10,3,0.6,15.2976816223022
10,3,0.65,15.256332330637576
10,3,0.7,16.168617503294616
10,3,0.75,16.739240941334213
10,3,0.8,16.75095909047038
100,3,0.2,159.82931873452128
100,3,0.25,160.11212840909545
100,3,0.3,151.87993171682544
100,3,0.35,147.73895424360705
100,3,0.4,150.2808879338228
100,3,0.45,150.79348543448936
100,3,0.5,150.01500147711388
100,3,0.55,151.47245783086052
100,3,0.6,154.52192794156554
100,3,0.65,158.55377526303312
100,3,0.7,160.68012270338602
100,3,0.75,163.9677395409636
100,3,0.8,170.8515097479301
