N,Dim,Alpha,Energy
1,1,0.2,0.719298905416679
1,1,0.25,0.5707411400655326
1,1,0.3,0.5498772854514866
1,1,0.35,0.5636210300663492
1,1,0.4,0.5292043147768313
1,1,0.45,0.5143259681899375
1,1,0.5,0.5000500001454878
1,1,0.55,0.5057093812859381
1,1,0.6,0.511918215224931
1,1,0.65,0.5383471680866131
1,1,0.7,0.5221332021750132
1,1,0.75,0.5758207099085504
1,1,0.8,0.5501233791041038
10,1,0.2,5.933222223900231
10,1,0.25,6.492329108873937
10,1,0.3,5.275397200273795
10,1,0.35,5.150946097662234
10,1,0.4,5.202352552392295
10,1,0.45,5.015859632284355
10,1,0.5,5.000499998709515
10,1,0.55,5.108667308861486
10,1,0.6,5.08310240717745
10,1,0.65,5.320546379462187
10,1,0.7,5.22848027569101
10,1,0.75,5.723040050490832
10,1,0.8,5.809398728015249
100,1,0.2,54.21595474552004
100,1,0.25,55.32932127344224
100,1,0.3,53.55955941173396
100,1,0.35,50.194550754530155
100,1,0.4,50.89971766527338
100,1,0.45,49.463245794563846
100,1,0.5,50.00500021639769
100,1,0.55,50.851079984484784
100,1,0.6,51.1043584773592
100,1,0.65,53.00789813491711
100,1,0.7,54.352895936198415
100,1,0.75,55.14676197077858
100,1,0.8,54.29305512063636
1,2,0.2,1.5687448726800597
1,2,0.25,1.1409950491285354
1,2,0.3,1.136738171871476
1,2,0.35,1.0954306473324622
1,2,0.4,1.012719753520055
1,2,0.45,1.020893863971648
1,2,0.5,1.0000999998414082
1,2,0.55,1.016785334088155
1,2,0.6,1.011444584183638
1,2,0.65,1.0266308398966757
1,2,0.7,1.0483658001033513
1,2,0.75,1.0782388047766591
1,2,0.8,1.1084691468262524
10,2,0.2,12.830785469608285
10,2,0.25,12.210422040208663
10,2,0.3,11.297507801572467
10,2,0.35,10.252476952224114
10,2,0.4,10.125273786511453
10,2,0.45,10.021913120944955
10,2,0.5,10.001000054737744
10,2,0.55,9.967910592489634
10,2,0.6,10.111339781152644
10,2,0.65,10.350289522965944
10,2,0.7,10.502623142933308
10,2,0.75,10.61431957789593
10,2,0.8,10.99705846587354
100,2,0.2,106.03831604831167
100,2,0.25,100.07706822358853
100,2,0.3,100.05023951252132
100,2,0.35,98.74395211597465
100,2,0.4,98.71773575999427
100,2,0.45,98.36256741150393
100,2,0.5,100.01001126287987
100,2,0.55,100.50190520318041
100,2,0.6,102.5722545611839
100,2,0.65,106.37948338238525
100,2,0.7,110.32167835542431
100,2,0.75,110.60556819640698
100,2,0.8,111.68998128600745
1,3,0.2,2.011111489664984
1,3,0.25,1.9538053788669625
1,3,0.3,1.6453694201231877
1,3,0.35,1.6849870336513852
1,3,0.4,1.5419027014643558
1,3,0.45,1.5066656781146388
1,3,0.5,1.5001500017142648
1,3,0.55,1.5039010395869317
1,3,0.6,1.533526968546108
1,3,0.65,1.5473115510099118
1,3,0.7,1.584066409432183
1,3,0.75,1.680002564829843
1,3,0.8,1.6677043961076201
10,3,0.2,20.67676056343702
10,3,0.25,18.50539078267952
10,3,0.3,16.573142832252703
10,3,0.35,16.332498993788466
10,3,0.4,15.71090428735043
10,3,0.45,15.079325869914305
10,3,0.5,15.001500097470975
10,3,0.55,15.162039743633073
10,3,0.6,15.012331650655184
10,3,0.65,15.486000813327273
10,3,0.7,16.298029384420527
10,3,0.75,16.02369394853673
10,3,0.8,16.860084838999047
100,3,0.2,156.0769205488894
100,3,0.25,161.92928247568213
100,3,0.3,150.4704848104681
100,3,0.35,149.9151320435382
100,3,0.4,146.85854882723692
100,3,0.45,148.28098150641947
100,3,0.5,150.01500923321385
100,3,0.55,151.54624410126002
100,3,0.6,155.15546779386176
100,3,0.65,160.8650310265099
100,3,0.7,165.02638897119414
100,3,0.75,167.59488771167872
100,3,0.8,173.35154747169105
