N,Dim,Alpha,Energy
1,1,0.2,0.7460743586925404
1,1,0.25,0.5850362813904701
1,1,0.3,0.6326986654785144
1,1,0.35,0.5067612843303525
1,1,0.4,0.5209227135526163
1,1,0.45,0.49984559603436085
1,1,0.5,0.5000499995684337
1,1,0.55,0.5051057482841261
1,1,0.6,0.5165288657009112
1,1,0.65,0.5172918465386166
1,1,0.7,0.5268977755726612
1,1,0.75,0.5660440670745022
1,1,0.8,0.5646238656725194
10,1,0.2,5.891228243787913
10,1,0.25,5.606119993916261
10,1,0.3,5.391691702662263
10,1,0.35,5.626940150205736
10,1,0.4,5.3194403287956105
10,1,0.45,5.019050766392766
10,1,0.5,5.000500005506359
10,1,0.55,4.984680899093366
10,1,0.6,4.9468406551820525
10,1,0.65,4.999020082947453
10,1,0.7,5.252392861399603
10,1,0.75,5.227614608388258
10,1,0.8,5.817105043689925
100,1,0.2,50.09234619370189
100,1,0.25,54.5452333177085
100,1,0.3,52.624294756115575
100,1,0.35,48.37687197739191
100,1,0.4,49.52333471901096
100,1,0.45,49.63157166271119
100,1,0.5,50.00500015605433
100,1,0.55,49.91276488195924
100,1,0.6,52.5743490165451
100,1,0.65,52.003228656234825
100,1,0.7,55.29821775188305
100,1,0.75,54.35731332559824
100,1,0.8,55.891527139684605
1,2,0.2,1.6127548725205474
1,2,0.25,1.2898261082173812
1,2,0.3,1.149682238208617
1,2,0.35,1.055301345695604
1,2,0.4,1.0340256659941978
1,2,0.45,1.009038363213321
1,2,0.5,1.000099999299156
1,2,0.55,1.0103840359808949
1,2,0.6,1.0250030087062332
1,2,0.65,1.0455006930014021
1,2,0.7,1.0652061923624574
1,2,0.75,1.0573469589541362
1,2,0.8,1.1148613652723256
10,2,0.2,13.039541740016897
10,2,0.25,12.452766639301117
10,2,0.3,11.642934351561191
10,2,0.35,10.521519870308671
10,2,0.4,10.132465571554006
10,2,0.45,10.10055317088737
10,2,0.5,10.000999864124037
10,2,0.55,10.01798835433495
10,2,0.6,10.050603161181408
10,2,0.65,10.437258204960148
10,2,0.7,10.553403560589791
10,2,0.75,10.87655438895911
10,2,0.8,11.118285629682209
100,2,0.2,109.5922094701717
100,2,0.25,110.04292338658182
100,2,0.3,103.10412476557357
100,2,0.35,102.97833773362443
100,2,0.4,101.04924179584964
100,2,0.45,100.5729912156747
100,2,0.5,100.0099988571072
100,2,0.55,101.16931990386017
100,2,0.6,102.98480466967216
100,2,0.65,107.61542616644415
100,2,0.7,108.6424914817583
100,2,0.75,109.23615052885684
100,2,0.8,114.28355483563145
1,3,0.2,2.1511148109686586
1,3,0.25,1.990732274008789
1,3,0.3,1.6034830364831545
1,3,0.35,1.5318996681686456
1,3,0.4,1.5377521906505993
1,3,0.45,1.5181156226006225
1,3,0.5,1.5001499980288067
1,3,0.55,1.513246538226883
1,3,0.6,1.581132888211824
1,3,0.65,1.5708849299559817
1,3,0.7,1.6004526341097365
1,3,0.75,1.6228064636110693
1,3,0.8,1.6516442178228636
10,3,0.2,22.773505500492796
10,3,0.25,17.26038971977948
10,3,0.3,19.144015821841023
10,3,0.35,15.874195841027994
10,3,0.4,15.330938073689348
10,3,0.45,14.899760089556459
10,3,0.5,15.001499940886678
10,3,0.55,15.11111068035588
10,3,0.6,15.330395123934377
10,3,0.65,15.573516966778273
10,3,0.7,15.71482737946315
10,3,0.75,16.5518218053522
10,3,0.8,17.06973580761187
100,3,0.2,165.97428141976533
100,3,0.25,158.23338002325104
100,3,0.3,155.39403205343842
100,3,0.35,144.987575097151
100,3,0.4,147.1059475995336
100,3,0.45,148.52410890746881
100,3,0.5,150.0149955575447
100,3,0.55,152.3442397529616
100,3,0.6,154.27021016275606
100,3,0.65,157.37494986576561
100,3,0.7,163.8107297789152
100,3,0.75,166.56487360569287
100,3,0.8,167.2515286163449
