N,Dim,Alpha,Energy
1,1,0.2,0.7948789185811043
1,1,0.25,0.5624564392459944
1,1,0.3,0.5695611499290768
1,1,0.35,0.537188496617803
1,1,0.4,0.5204282895438915
1,1,0.45,0.5034962161254187
1,1,0.5,0.5000499997726583
1,1,0.55,0.4892487093026607
1,1,0.6,0.5194506564207377
1,1,0.65,0.4922530703930567
1,1,0.7,0.5591826004298125
1,1,0.75,0.548813463451707
1,1,0.8,0.5595098958683883
10,1,0.2,7.131557712319083
10,1,0.25,6.667252723181991
10,1,0.3,5.858983300438747
10,1,0.35,5.0278005037143885
10,1,0.4,5.156310755373931
10,1,0.45,5.041196739914706
10,1,0.5,5.000500005434255
10,1,0.55,5.070495695768107
10,1,0.6,4.9949644870560315
10,1,0.65,4.880058400299724
10,1,0.7,5.255635308448626
10,1,0.75,5.485263677209697
10,1,0.8,5.531777721129077
100,1,0.2,55.018952091114045
100,1,0.25,50.334504854231646
100,1,0.3,52.392942367558604
100,1,0.35,52.30868088378593
100,1,0.4,50.98011735632552
100,1,0.45,49.790593293539864
100,1,0.5,50.00500061996452
100,1,0.55,50.66559217961975
100,1,0.6,51.54047823142654
100,1,0.65,51.437548892888174
100,1,0.7,55.87232389118727
100,1,0.75,55.494432736331454
100,1,0.8,56.53218570739659
1,2,0.2,1.2355762618863422
1,2,0.25,1.1572691870032874
1,2,0.3,1.0849895147014135
1,2,0.35,1.0954330491598985
1,2,0.4,1.0110714937683938
1,2,0.45,1.0014674000793078
1,2,0.5,1.0000999990970258
1,2,0.55,0.9986809214078066
1,2,0.6,1.0241714661209778
1,2,0.65,1.0285055050240923
1,2,0.7,1.0492675272284622
1,2,0.75,1.0013952583236916
1,2,0.8,1.104569431346313
10,2,0.2,13.195361116648357
10,2,0.25,12.486386903611386
10,2,0.3,10.63517332952348
10,2,0.35,10.563508534134455
10,2,0.4,10.18198668113309
10,2,0.45,10.156717214479475
10,2,0.5,10.001000109986517
10,2,0.55,10.123214542655179
10,2,0.6,9.992962642338139
10,2,0.65,10.49352336630251
10,2,0.7,10.683086899556937
10,2,0.75,10.898881425718894
10,2,0.8,10.845363954380815
100,2,0.2,110.60311333924902
100,2,0.25,108.83358222915307
100,2,0.3,103.1405823929518
100,2,0.35,99.78996208532476
100,2,0.4,99.60632000027239
100,2,0.45,99.86210392733324
100,2,0.5,100.00999848180462
100,2,0.55,101.60309531144628
100,2,0.6,104.55622281542081
100,2,0.65,107.26036261277785
100,2,0.7,108.68272241496051
100,2,0.75,109.30218444328257
100,2,0.8,109.82947144699902
1,3,0.2,2.0778760085932375
1,3,0.25,1.9566149533931803
1,3,0.3,1.8302162340385444
1,3,0.35,1.594114373320195
1,3,0.4,1.4947426084309083
1,3,0.45,1.5204199397846485
1,3,0.5,1.5001499995147867
1,3,0.55,1.5067675171148942
1,3,0.6,1.5004302866280685
1,3,0.65,1.5243016184223495
1,3,0.7,1.5842339066264004
1,3,0.75,1.594826465525549
1,3,0.8,1.661799624815866
10,3,0.2,22.509076917100877
10,3,0.25,18.782765307594335
10,3,0.3,16.83128080876382
10,3,0.35,15.577460903023326
10,3,0.4,15.24787677625026
10,3,0.45,15.015814945609355
10,3,0.5,15.001500153072813
10,3,0.55,15.079843230538177
10,3,0.6,15.494553249231126
10,3,0.65,15.672366547500703
10,3,0.7,15.843115134547366
10,3,0.75,15.997812289218526
10,3,0.8,16.59470687507863
100,3,0.2,162.55217237051903
100,3,0.25,147.82739963858856
100,3,0.3,153.14356930619104
100,3,0.35,146.99584666507138
100,3,0.4,146.86053684885403
100,3,0.45,147.57930945761268
100,3,0.5,150.0150030532048
100,3,0.55,152.10248794893542
100,3,0.6,155.1725311263163
100,3,0.65,157.4218572245853
100,3,0.7,163.09917339843096
100,3,0.75,162.83424621143632
100,3,0.8,172.46828219627085
