Alpha,Energy
0.2,1.633396834155055,226.839 
0.25,1.279120182009906,199.534 
0.3,1.1503230079425633,218.5077 
0.35,1.1527650355807315,270.6999 
0.4,1.10468793468669,214.4517 
0.45,0.9762794738538323,173.8161 
0.5,1.0000999991144357,225.2374 
0.55,1.0213555584995406,169.9379 
0.6,1.0281578606745543,198.4712 
0.65,1.0558150572838694,269.7527 
0.7,1.0973851518241424,293.0248 
0.75,1.09853616774806,295.8311 
0.8,1.179443011906801,301.2613 
