Alpha,Energy
0.2,1.4365845813344293,151.8429 
0.25,1.256276115835385,153.156 
0.3,1.160623724038911,118.9679 
0.35,1.045113583522071,119.5333 
0.4,1.0426658274685543,178.8245 
0.45,1.0021915812237634,185.4142 
0.5,1.0001000003378875,152.8521 
0.55,1.0223775875669445,132.5067 
0.6,1.0060733616080721,104.1641 
0.65,1.033703521946567,127.6407 
0.7,1.0597888065822618,150.1158 
0.75,1.0971439748777234,109.0307 
0.8,1.1663053503267957,97.9473 
