StepSize,Alpha,Energy,Energy2
0.125,0.2,0,0
0.125,0.3,-44.954564265900345,2020.9128483369927
0.125,0.4,-59.82351748045783,3578.853243734689
0.125,0.5,0,0
0.125,0.6,0,0
0.125,0.7,-105.05625356286144,11036.816412663966
0.125,0.8,-121.62404852065208,14792.409178554208
0.125,0.9,-140.27070352545232,19675.871061583086
