Alpha,Energy,Energy2,TimeElapsed
0,242.5246178352453,58818.19025613178,2.5382316s
0.01,939.9962360363222,883592.9237624531,2.55801s
0.02,242.06812953811095,58596.97933807966,2.5749547s
0.03,596.4098428990679,355704.7007068909,2.5936579s
0.04,896.1309463053882,803050.6729261905,2.6198855s
0.05,1568.3132720398528,2459606.519256349,2.6305265s
0.06,1764.051856989938,3111878.9541496485,2.6433184s
0.07,1546.5398470654095,2391785.4985611,2.6618599s
0.08,1414.5089964934693,2000835.7011609618,2.6770753s
0.09,1105.2381537483354,1221551.3765010291,2.6844211s
0.1,1464.6358981319847,2145158.3140968857,2.6990614s
0.11,1144.9047354987242,1310806.8533674036,2.7084563s
0.12,1489.4536146203482,2218472.0701056207,2.7206646s
0.13,1347.8085285468494,1816587.8296236233,2.7414766s
0.14,1235.7829299200405,1527159.4498817597,2.7542825s
0.15,1151.5696350267804,1326112.6243157121,2.7645541s
0.16,1083.4240782506604,1173807.733333293,2.7786723s
0.17,973.2920244411039,947297.3648406623,2.7880509s
0.18,890.0780101243512,792238.8641069246,2.8090619s
0.19,851.9480674748273,725815.509674093,2.8226679s
0.2,805.0732161465086,648142.883356483,2.8361052s
0.21,749.2851839444127,561428.2868786124,2.8557523s
0.22,685.2544073477256,469573.6027894827,2.8691877s
0.23,642.9273459573428,413355.5721797528,2.8766519s
0.24,607.707843909534,369308.82354917447,2.8971411s
0.25,561.5018274688111,315284.30225081457,2.914091s
0.26,555.4795785431669,308557.5621784943,2.9337355s
0.27,489.58994829259075,239698.31746914168,2.9533647s
0.28,476.45620931384315,227010.5193937167,2.9707834s
0.29,437.6712295885147,191556.10520952233,2.9842081s
0.3,417.33481882577166,174168.35100433967,2.992758s
0.31,386.06749695775784,149048.11220722835,3.0057536s
0.32,357.1713614886198,127571.38146763433,3.0175984s
0.33,323.7886834524797,104839.1115318901,3.0346741s
0.34,303.85623151371175,92328.60942971439,3.0492334s
0.35000000000000003,272.6787322619641,74353.69102799191,3.0696725s
0.36,266.7472045579093,71154.0711394591,3.0842903s
0.37,236.46323637711615,55914.862157939904,3.0903293s
0.38,217.54317033713738,47325.03096033277,3.1048108s
0.39,191.34145245280624,36611.55142674951,3.1106898s
0.4,171.9018023797653,29550.22966141188,3.1201349s
0.41000000000000003,152.60279542736296,23287.61317224559,3.1275529s
0.42,133.01957956903877,17694.208548723836,3.1417141s
0.43,117.35377977738897,13771.909628039908,3.1549014s
0.44,96.91998670511259,9393.483822919201,3.1700949s
0.45,81.74136765503131,6681.651186114999,3.1888514s
0.46,63.61081784053277,4046.3361463414417,3.2024965s
0.47000000000000003,50.031733109489664,2503.1743179392042,3.2247982s
0.48,33.10719643083678,1096.0864555100115,3.2463787s
0.49,17.16546866633179,294.6533145348185,3.2737172s
0.5,1.5,2.25,3.3009337s
0.51,-13.588164652291187,184.6382186177757,3.3141542s
0.52,-27.90777996845852,778.8441827678946,3.3294039s
0.53,-42.166411192900355,1778.0062328887523,3.3466353s
0.54,-56.93744812799135,3241.872999327706,3.3683328s
0.55,-69.64700057178959,4850.70468864686,3.3771146s
0.56,-87.18959805982753,7602.026009834281,3.3876695s
0.5700000000000001,-97.4860112488614,9503.522389213133,3.4037881s
0.58,-111.69124047099841,12474.933197950393,3.4131504s
0.59,-122.76704732606635,15071.747909160615,3.4275155s
0.6,-136.44660014983742,18617.674692449615,3.4496382s
0.61,-155.20385975586157,24088.238083117147,3.4949113s
0.62,-166.82947050864425,27832.0722301946,3.5183218s
0.63,-182.6770145602646,33370.89164865113,3.5346112s
0.64,-185.9684812309056,34584.27601132969,3.5586341s
0.65,-199.93036199199952,39972.149646251964,3.5784266s
0.66,-210.6769263219263,44384.767284454356,3.597643s
0.67,-222.2816955357732,49409.152170258174,3.609148s
0.68,-231.52789214353865,53605.164840430065,3.6283018s
0.6900000000000001,-243.67858152870858,59379.25109584347,3.6450232s
0.7000000000000001,-266.47492752723724,71008.88700064634,3.6616114s
0.71,-268.012991267936,71830.96348838674,3.6820867s
0.72,-290.0314188946187,84118.22394602578,3.7064838s
0.73,-306.951321375427,94219.11369412068,3.7196135s
0.74,-301.55839617872556,90937.4663058852,3.7274743s
0.75,-324.41260991389777,105243.5414711468,3.7472338s
0.76,-322.7728847014391,104182.33509848852,3.7628918s
0.77,-337.67526225835866,114024.5827412513,3.7847636s
0.78,-350.19882086508835,122639.21413529824,3.8071454s
0.79,-350.72760055647916,123009.8497921052,3.8460358s
0.8,-387.60595309967124,150238.37487830454,3.8935708s
0.81,-374.85608504100287,140517.08449226758,3.9429471s
0.8200000000000001,-423.3080796652253,179189.73030986072,3.9630197s
0.8300000000000001,-392.89131626904907,154363.58639962593,4.0146841s
0.84,-411.7015511914407,169498.1672534385,4.0250177s
0.85,-443.1632492235888,196393.6654624087,4.0416981s
0.86,-439.7872848620419,193412.85592632677,4.0738068s
0.87,-459.72047474245744,211342.91489743046,4.0807155s
0.88,-446.49361510501114,199356.54832954184,4.0965212s
0.89,-456.98284092855494,208833.31690313295,4.1076845s
0.9,-472.05731960519796,222838.11299284402,4.123798s
