Alpha,Energy,Energy2,TimeElapsed
0,0.03402920557853074,0.0011579868323059075,65.328ms
0.01,41.1761975879028,1695.4792477980122,71.7075ms
0.02,165.8865695019326,27518.353941119516,82.5434ms
0.03,478.1090565450799,228588.26995042642,88.3554ms
0.04,748.446526456307,560172.2029645114,94.2313ms
0.05,558.4587702654927,311876.1980864464,104.0824ms
0.06,1071.4627347824992,1148032.3920275923,111.4024ms
0.07,1494.16999671067,2232543.9790703636,124.1877ms
0.08,1192.2211616719903,1421391.29833851,136.1024ms
0.09,1513.2325548945294,2289872.7651926246,144.9687ms
0.1,549.9200345424921,302412.0443912157,160.3039ms
0.11,1166.131137879278,1359861.8307316196,183.1538ms
0.12,1302.8822906966386,1697502.2634109203,191.1147ms
0.13,624.9130239159947,390516.28745983256,199.1028ms
0.14,719.7775419123152,518079.70984133467,210.7977ms
0.15,1131.6755170607642,1280689.475914748,221.1528ms
0.16,1046.9338316507792,1096070.4478549822,231.2188ms
0.17,960.959202570366,923442.5890046736,237.018ms
0.18,905.1430043482356,819283.8583205502,244.284ms
0.19,851.8657372664087,725675.234328442,257.4664ms
0.2,802.1155995784557,643389.4350871054,273.2827ms
0.21,747.3428750300292,558521.3728581498,279.9383ms
0.22,699.8765003087626,489827.1156844414,296.1509ms
0.23,646.0058567842303,417323.5669995275,304.8031ms
0.24,606.940694141523,368377.0062049937,313.0835ms
0.25,567.721218597772,322307.3820461392,335.9312ms
0.26,541.4512569192964,293169.4636194859,341.6939ms
0.27,500.1628604298285,250162.88695334812,350.2891ms
0.28,465.8717647139482,217036.50115768833,359.4353ms
0.29,437.1553806030635,191104.82679020934,366.3712ms
0.3,406.565154701574,165295.22501751478,374.3213ms
0.31,370.82251209367075,137509.3354754606,382.9615ms
0.32,348.6007958828321,121522.51489014395,390.7545ms
0.33,331.26942634263526,109739.43282937864,402.6835ms
0.34,298.07568838088906,88849.11600374088,415.0125ms
0.35000000000000003,272.13987421789807,74060.11113933338,428.2346ms
0.36,263.883019364847,69634.2479091082,444.7609ms
0.37,238.88510642786213,57066.09407305101,454.9737ms
0.38,212.45315825976311,45136.34445454795,464.4133ms
0.39,188.0737577068961,35371.738337992254,474.433ms
0.4,169.80635695605616,28834.198862687565,488.6952ms
0.41000000000000003,154.38724521199106,23835.421484147457,503.2698ms
0.42,132.8066153487723,17637.597080396765,521.9657ms
0.43,115.31060692753589,13296.536069996688,527.4018ms
0.44,98.45783767645567,9693.945799923293,536.1564ms
0.45,79.68788481847704,6350.158986842865,551.1877ms
0.46,64.3824399581253,4145.098574961609,564.9102ms
0.47000000000000003,47.172170848097366,2225.213702522087,574.0459ms
0.48,31.18768858931351,972.6719195439961,591.947ms
0.49,16.42147990936178,269.66500241357255,601.6869ms
0.5,0.5,0.25,611.977ms
0.51,-15.020618961834447,225.61899399662056,617.0007ms
0.52,-29.302209076599695,858.6194567687616,633.041ms
0.53,-44.771140944536725,2004.4550614755728,643.1277ms
0.54,-58.5515145502178,3428.279856124367,657.3476ms
0.55,-71.2996478164167,5083.639778745054,663.8637ms
0.56,-86.96955693688574,7563.70383379821,676.656ms
0.5700000000000001,-101.68717807920802,10340.282185712565,702.9155ms
0.58,-110.5197977583747,12214.625696552044,713.6498ms
0.59,-126.3926869428107,15975.11131262335,726.7289ms
0.6,-144.04500890671574,20748.964590935815,732.4682ms
0.61,-156.4661127042814,24481.644424788887,746.1013ms
0.62,-164.1888891420742,26957.991317708333,760.7273ms
0.63,-175.651625808242,30853.493649078664,770.1238ms
0.64,-188.50690191986908,35534.85207142714,775.8778ms
0.65,-204.5700752051049,41848.91566942228,784.7937ms
0.66,-216.9280794082557,47057.7916357545,795.8109ms
0.67,-238.0868483708304,56685.34736715479,803.3299ms
0.68,-242.08484491447976,58605.072137267714,814.0578ms
0.6900000000000001,-245.49283384066422,60266.73146711997,821.125ms
0.7000000000000001,-263.17696476046956,69262.11478053343,827.7395ms
0.71,-267.34568763443986,71473.71669673148,838.214ms
0.72,-279.3921359654813,78059.96563935399,845.2827ms
0.73,-294.0122923026867,86443.22802508049,857.3812ms
0.74,-301.1608673221436,90697.86800622578,862.5713ms
0.75,-312.86803632156483,97886.408151712,875.3889ms
0.76,-322.39172720084264,103936.42576754253,881.2108ms
0.77,-347.5391618547433,120783.46902269748,893.2056ms
0.78,-356.5576857816344,127133.38328995473,904.5238ms
0.79,-372.5635685549513,138803.6126143999,913.896ms
0.8,-367.6750774832242,135184.96260229492,922.4812ms
0.81,-378.500599498819,143262.70382096537,930.2076ms
0.8200000000000001,-386.3880858965196,149295.7529227762,936.2325ms
0.8300000000000001,-399.9649033405884,159971.92390424624,947.3698ms
0.84,-412.1688505125368,169883.1613328259,964.9679ms
0.85,-434.54958652767857,188833.3431513764,979.6865ms
0.86,-432.0145965595993,186636.61164055334,999.4508ms
0.87,-461.0383079480079,212556.32139556218,1.0053069s
0.88,-448.9046147885735,201515.35317847756,1.0170515s
0.89,-492.67175704190583,242725.4601867587,1.0282306s
0.9,-499.6033096628411,249603.46702606473,1.045021s
