Alpha,Energy,Time
0.2,397.18228683181076,5295.6952816s
0.25,460.7518320396539,5283.9620689s
0.3,519.1764916065938,5279.2396959s
0.35,580.4858482217667,5281.7970196s
0.4,637.6859948412248,5288.6230032s
0.45,695.6577470906341,5284.0508859s
0.5,750.0749937640119,5277.1385177s
0.55,803.8025148330871,5308.2170847s
0.6,856.2421975816129,5280.7718541s
0.65,905.1673774029567,5281.0238118s
0.7,955.1700365508154,5229.8362087s
0.75,998.2645822653928,5229.7774142s
0.8,1047.773224662099,5218.2287972s
