Alpha,Energy,Time
0.2,740.3260128685349,4567.4992745s
0.25,722.9874792761783,4451.8145871s
0.3,712.1228611515859,4343.9109619s
0.35,710.2778302490902,4258.2039217s
0.4,725.5661154114906,4116.9095954s
0.45,736.6970057606596,4055.6405817s
0.5,750.0749956391893,3990.4635039s
0.55,768.3887992187824,3880.1824551s
0.6,788.2631402426036,3846.5070438s
0.65,814.9175839690043,3808.5472617s
0.7,838.7679094821776,3715.2746678s
0.75,852.1041626483802,3659.919856s
0.8,876.0739868619476,3544.2384548s
