Alpha,Energy,Energy2,TimeElapsed
0,80.9210934281019,6548.2233615995965,2.3625299s
0.01,304.34530653703416,92626.06561112129,2.3794213s
0.02,903.9395618990729,817106.7315662879,2.3944804s
0.03,1178.24836181291,1388269.2021148058,2.4074389s
0.04,941.3633064788326,886164.8747847604,2.4292236s
0.05,1063.0672181193438,1130111.9102400006,2.4537041s
0.06,1836.0732532669188,3371164.9913621666,2.4683202s
0.07,1237.6827732050556,1531858.647088557,2.4787831s
0.08,1699.1726108582668,2887187.561490899,2.4952016s
0.09,1198.1351889984257,1435527.9311162934,2.513088s
0.1,1294.519753144805,1675781.391282087,2.5266124s
0.11,1613.0239146930537,2601846.1493717036,2.5497765s
0.12,1479.4836337725314,2188871.822600774,2.5673569s
0.13,1344.8529106005017,1808629.351150641,2.5743873s
0.14,883.1980811578973,780038.8505609917,2.5978246s
0.15,991.6393113318884,983348.5237787819,2.6133852s
0.16,1066.059577469437,1136483.0227143147,2.6280218s
0.17,995.1812545312727,990385.7293704377,2.6384779s
0.18,912.265063657477,832227.5463699804,2.6464653s
0.19,851.4063854408687,724892.8331694851,2.6714595s
0.2,798.948350210242,638318.4663036675,2.6860521s
0.21,739.2227650654863,546450.2963910631,2.6996152s
0.22,702.3451246882872,493288.67417340574,2.7115182s
0.23,643.7201917184138,414375.6852259915,2.7317841s
0.24,600.0975855648402,360117.1122007507,2.7503723s
0.25,570.4749070172205,325441.6195363064,2.766437s
0.26,528.5890253906589,279406.35776344663,2.7765677s
0.27,502.9046735951672,252913.11072386167,2.7867381s
0.28,465.563192979685,216749.08665743945,2.8027055s
0.29,439.71255792325593,193347.1335954127,2.8143663s
0.3,417.6581469672924,174438.32772815242,2.8315744s
0.31,380.15439567703663,144517.36455257292,2.8432028s
0.32,349.0219083450507,121816.29250482096,2.8528452s
0.33,324.8620720106149,105535.36583102994,2.8692541s
0.34,303.9756799976645,92401.21403004252,2.8761116s
0.35000000000000003,277.30396741285205,76897.4903429081,2.888539s
0.36,254.36182455258887,64699.937789722004,2.9060584s
0.37,230.41858884563186,53092.72608561234,2.9261491s
0.38,211.9669363343567,44929.982098973225,2.9404905s
0.39,195.8691719635462,38364.73252568523,2.9549857s
0.4,169.85903078824194,28852.090340320923,2.9618118s
0.41000000000000003,151.9058617673884,23075.390839292908,2.9743661s
0.42,131.978419764744,17418.303283598965,2.9862378s
0.43,114.7895179756954,13176.633437092498,2.9939584s
0.44,98.95261526442741,9791.620067669792,3.0093597s
0.45,82.92944914330663,6877.29353521228,3.022481s
0.46,64.16283584074282,4116.86950312611,3.0322568s
0.47000000000000003,50.594419656746496,2559.7953004029764,3.0416457s
0.48,33.30624818550207,1109.30616819426,3.053104s
0.49,16.87500209992439,284.7656958724526,3.0651022s
0.5,1.5,2.25,3.0733631s
0.51,-13.285955777144943,176.51662091225108,3.0817595s
0.52,-27.682136889213343,766.3007027531462,3.0915382s
0.53,-44.25205449360887,1958.2443269053288,3.1060378s
0.54,-60.89582517863959,3708.3015241874355,3.1131911s
0.55,-70.07321587794371,4910.255583476903,3.1218446s
0.56,-84.01197160042409,7058.011372190464,3.1471573s
0.5700000000000001,-101.2627871199214,10254.152055294519,3.1630003s
0.58,-113.03042070441269,12775.876004616524,3.1782262s
0.59,-123.52475997848134,15258.366327741425,3.1954175s
0.6,-134.89357249953378,18196.275901686975,3.2106886s
0.61,-151.4906502367914,22949.417109165865,3.2207384s
0.62,-163.94662414401108,26878.495568217637,3.2311245s
0.63,-180.3748961468112,32535.10315997293,3.2494674s
0.64,-193.10095275239036,37287.977953880894,3.2688889s
0.65,-207.456360181186,43038.14137962597,3.2944448s
0.66,-220.21116365943166,48492.956600241,3.3187687s
0.67,-228.6200924792333,52267.14668521319,3.3335607s
0.68,-237.3140754880552,56317.97042475037,3.3544517s
0.6900000000000001,-248.99139234736813,61996.71346308102,3.374798s
0.7000000000000001,-262.2028859106122,68750.35337985354,3.3876164s
0.71,-271.17238904228464,73534.46457890017,3.4056149s
0.72,-277.7234298674321,77130.30349733049,3.4208668s
0.73,-293.41374878004586,86091.62797315986,3.4370527s
0.74,-300.0217587933086,90013.05574943025,3.4564715s
0.75,-321.0682169114781,103084.79991071594,3.47444s
0.76,-341.9771870620886,116948.39647089875,3.5010123s
0.77,-332.88607123671716,110813.13642341673,3.5109122s
0.78,-342.6638806545567,117418.53510524027,3.5314121s
0.79,-354.88655729771006,125944.46855062085,3.5889088s
0.8,-367.765050779833,135251.13257509316,3.6020768s
0.81,-379.17225498434397,143771.59894991235,3.6288953s
0.8200000000000001,-388.4867926950674,150921.98809850027,3.641114s
0.8300000000000001,-419.22054056502895,175745.86163163508,3.6502826s
0.84,-433.2158604061124,187675.9817074083,3.668119s
0.85,-413.18852623828394,170724.75821496506,3.6943851s
0.86,-425.7563496588666,181268.46927484308,3.7107695s
0.87,-442.0854680214775,195439.5610357688,3.7257697s
0.88,-450.77695500020866,203199.86315926013,3.7425725s
0.89,-469.83377285749486,220743.7741175081,3.7598352s
0.9,-484.11604807029096,234368.34799919627,3.7819375s
