alpha,Energy
0,inf
1,45.62758574080773
2,30.418447586048615
3,25.34930876956007
4,22.815255371162536
5,21.29432379122778
6,20.27899972937975
7,19.55322893544787
8,19.00912327657235
9,18.586403287259966
10,18.248552233811957
11,17.97214269194409
12,17.74198436412683
13,17.547206529768594
14,17.38031487312573
15,17.235362193876192
16,17.108525428564807
17,16.996458465828496
18,16.89700202590884
19,16.80798228705979
20,16.727678394664032
21,16.654874490092332
22,16.588626331814837
23,16.528163710637035
24,16.47274120694164
25,16.421724847383576
26,16.374682724110155
27,16.331078699075388
28,16.290611562421827
29,16.25294797492976
30,16.217848689946777
31,16.185033583372242
32,16.154301653570123
33,16.125438136639048
34,16.0983228665942
35,16.072665682906113
36,16.048439533424766
37,16.025448711799836
38,16.003647345591304
39,15.982918908807433
40,15.963197956000101
41,15.94444417432365
42,15.92660197630668
43,15.909656207318674
44,15.893494536152202
45,15.878077298192428
46,15.863342529935233
47,15.84923816859671
48,15.835801573289634
49,15.822887737820965
50,15.810495588130529
51,15.798391977380184
52,15.786762219171786
53,15.775558428870802
54,15.76482959069114
55,15.754466350975003
56,15.744409045535289
57,15.734743968198048
58,15.72542500974731
59,15.716424006339361
60,15.707854628207413
61,15.699555405538229
62,15.691368050324241
63,15.683456186927454
64,15.675770193613511
65,15.66829732529486
66,15.661003676078728
67,15.65394257464791
68,15.647082466194815
69,15.640422610006773
70,15.6339949556362
71,15.627793282785637
72,15.621746836002924
73,15.615838768932223
74,15.61006822099652
75,15.604436064668969
76,15.598948701496122
77,15.593607639219414
78,15.588397769089902
79,15.583339435724032
80,15.578428919993499
81,15.573648880122638
82,15.568979278748948
83,15.564411824686724
84,15.559922197382578
85,15.555535405055343
86,15.5512425459747
87,15.547008720691798
88,15.54288810512764
89,15.538830917614098
90,15.534858921574322
91,15.530977729756405
92,15.527173243751543
93,15.523457060355316
94,15.5198372617077
95,15.516256397060943
96,15.512777185618555
97,15.509425117297164
98,15.506156041950582
99,15.502977679004534
100,15.499874474821436
101,15.496841919901476
102,15.493910334298027
103,15.491057120987833
104,15.488270961462876
105,15.485511905840696
106,15.482817057201277
107,15.480179437063219
108,15.477608304673879
109,15.475107854454217
110,15.472633222809645
111,15.470212562750538
112,15.467837324064394
113,15.465560050998462
114,15.463299900553142
115,15.461154557494757
116,15.459059658289892
117,15.456973334755956
118,15.454971332371933
119,15.453022901115704
120,15.4511150150452
121,15.44923603693191
122,15.447370830842965
123,15.445535271715908
124,15.443735951292714
125,15.441974664430921
126,15.440211126682051
