alpha,Energy
0,inf
1,45.63706976784145
2,30.42753570124909
3,25.357691012384972
4,22.82367511703907
5,21.30262040357532
6,20.290145175694864
7,19.5671692531335
8,19.025980972882856
9,18.60199303323348
10,18.262690611098783
11,17.98490427058524
12,17.753284044751602
13,17.55689782779982
14,17.38856678469829
15,17.242740226508342
16,17.114541498830274
17,17.003158176711924
18,16.90685920600231
19,16.820659712536386
20,16.742556730137395
21,16.671906012971892
22,16.607678088275982
23,16.548954718387655
24,16.492295484841268
25,16.439935541828046
26,16.391702700742105
27,16.347114066272315
28,16.30581387121635
29,16.26736196547459
30,16.23150026316037
31,16.197973635703917
32,16.166621435177532
33,16.13717645154678
34,16.109463525776658
35,16.083477539866735
36,16.058648369824027
37,16.035366145884083
38,16.01324129327775
39,15.992244691996742
40,15.97228672448322
41,15.953302316360602
42,15.935154345277194
43,15.918212385129356
44,15.90200646277695
45,15.886611862695556
46,15.872160269958625
47,15.857959515972519
48,15.844331995661777
49,15.831260700669842
50,15.818363036250672
51,15.805969776887153
52,15.793954325009137
53,15.782417709500299
54,15.771247156308677
55,15.760478789126838
56,15.750195838007997
57,15.740376493532077
58,15.730839919149409
59,15.721816601642944
60,15.713094061386695
61,15.704756043578255
62,15.696686994086217
63,15.688877143309861
64,15.681311350370269
65,15.673968009140262
66,15.666859333954251
67,15.659961159881966
68,15.653218827671504
69,15.646508330460465
70,15.639910347421427
71,15.633498223059545
72,15.627283309335887
73,15.621124523829986
74,15.615098284127573
75,15.609232744150555
76,15.60348318072909
77,15.59785596810828
78,15.59242150285625
79,15.587116075578317
80,15.58204723945837
81,15.577077178017474
82,15.572236860898048
83,15.567456245330389
84,15.56278153936382
85,15.558219554162465
86,15.553749561248797
87,15.549329386474728
88,15.545009670218253
89,15.540843803099635
90,15.536724942479838
91,15.53270174034259
92,15.52905398786197
93,15.525464415663327
94,15.52194429253209
95,15.518527303608387
96,15.5150937742155
97,15.511724573725013
98,15.508424132428209
99,15.505189264105578
100,15.50199699298583
101,15.498823568800713
102,15.495732225046158
103,15.492596904139415
104,15.489521877865492
105,15.486569369307905
106,15.483668750867093
107,15.480905269242136
108,15.478157730933551
109,15.475486109611788
110,15.472863063223148
111,15.470305671797249
112,15.467860707972838
113,15.465503990940698
114,15.463188619821402
115,15.460858971665052
116,15.45856273285179
117,15.456291786539026
118,15.454072854622723
119,15.451902429458363
120,15.449744277640603
121,15.447626874127081
122,15.445601302447104
123,15.443542488577371
124,15.441515169467497
125,15.439524662943379
126,15.43761143920391
127,15.435728344972148
128,15.433937123525268
129,15.432173672953535
130,15.430448208650962
131,15.428749816749797
132,15.427077158059255
133,15.425426112219778
134,15.423773169200311
135,15.422160359187064
136,15.420568796996955
137,15.41902471279774
138,15.417559132934375
139,15.416094362630234
140,15.414653739554893
141,15.413241988027826
142,15.411887142002026
143,15.410535283814882
144,15.409326555155028
145,15.40813449861462
146,15.40696739363992
147,15.405809633085621
148,15.404641820247253
149,15.403320507387006
150,15.402068092478833
151,15.400867708629825
152,15.399683119305145
153,15.398442601741994
154,15.397205014578569
155,15.395978452944462
156,15.394769560489967
157,15.393471299557321
158,15.392223016879036
159,15.391130843125493
160,15.390023926973623
161,15.388984800351869
162,15.38793728065275
163,15.386828242662856
164,15.385721236404299
165,15.384608180505797
166,15.383486412956396
167,15.38225849762532
168,15.381026168102586
169,15.379751186255483
170,15.378481421134746
171,15.377230482015168
172,15.375994168489305
173,15.374759783410804
174,15.373533066254266
175,15.372345800327253
176,15.3711720260585
177,15.370036425769579
178,15.368901182913456
179,15.367782380825199
180,15.366675713668625
181,15.365581274878423
182,15.364494181545801
183,15.363424202304369
184,15.36239820860921
185,15.361357047047266
186,15.36036910596348
187,15.359452058232623
188,15.358540597238711
189,15.35761773667411
190,15.35670459043124
191,15.355801005929132
192,15.354923767448232
193,15.354066569944358
194,15.353145096769103
195,15.352216493866294
196,15.351274521103672
197,15.350369690447623
198,15.349481359979036
199,15.348578652035915
200,15.347676682814543
201,15.346783688411293
202,15.345873148398233
203,15.344980914549412
204,15.34410172816231
205,15.343223155058029
206,15.342358167955629
207,15.341481972888975
208,15.3406243520828
209,15.339767017228198
210,15.338885071699266
211,15.338017107184571
212,15.33716730573029
213,15.336320196192807
214,15.335474663036058
215,15.33465854628574
216,15.333849986172
217,15.333048878225206
218,15.33223590889988
219,15.331426517262667
220,15.330631126867031
221,15.329848610374928
222,15.329098092723035
223,15.328357883131131
224,15.327656902873754
225,15.326973864235256
226,15.326301627346556
227,15.325642913445515
228,15.324989977736589
229,15.324338871709731
230,15.323708074058633
231,15.323082737859059
232,15.32245641697779
233,15.321822810036085
234,15.321188928028787
235,15.320560440761975
236,15.319920984712889
237,15.31928692491738
238,15.31865566049181
239,15.318009309024484
240,15.317366434320737
241,15.316729505063863
242,15.316086665150683
243,15.315431020089203
244,15.314773166126544
245,15.314122050533435
246,15.31348575661686
247,15.312869447211618
248,15.312264152691258
249,15.311639317992041
250,15.31103081279944
251,15.310440701112837
252,15.309845454187931
253,15.309270587184855
254,15.308701137929763
255,15.308145695439775
256,15.307608306265365
257,15.307067103441346
258,15.306545991200487
259,15.306043942606147
260,15.30554575592407
261,15.305058785746816
262,15.304580628185803
263,15.304107432568658
264,15.303672112816656
265,15.303272123835423
266,15.302874706409094
267,15.30250482658904
268,15.302152460115598
269,15.301808404174292
270,15.30145564753468
271,15.301095111925536
272,15.30075909311871
273,15.300440851372876
274,15.300112240609355
275,15.299790629428648
276,15.29947230661258
277,15.299155391500632
278,15.298853928414491
279,15.298554626354058
280,15.298282003799244
281,15.298081802703717
282,15.297915625771733
283,15.29776220582698
284,15.297587919565682
285,15.297409093807172
286,15.297229061332558
287,15.297055639227665
288,15.296895007680213
289,15.296716339966029
290,15.296552366775723
291,15.296396802852534
292,15.296231620738482
293,15.296121862392594
294,15.296029802114678
295,15.296011844306223
296,15.295883535839742
297,15.295768808817964
298,15.295680497380813
299,15.295694223512106
300,15.295707858135856
301,15.295613824229907
302,15.295501285672184
303,15.295387316565481
304,15.295252936343804
305,15.295113170036416
306,15.294954867547933
307,15.294797596346019
308,15.294618185223221
309,15.294439935337465
310,15.294278029884977
311,15.294103823510689
312,15.29391968169442
313,15.293733760738508
314,15.293605117913346
315,15.29349049984208
316,15.293361524165874
317,15.293189302638137
318,15.293089916447293
319,15.292991153367364
320,15.292890914634492
321,15.292747068409414
322,15.292604115639149
323,15.292456741138546
324,15.292248506205489
325,15.292041552718175
326,15.29183708332586
327,15.29165905893858
328,15.291454308168275
329,15.291273661244146
330,15.291130569362025
331,15.29096469121803
332,15.290799126473171
333,15.290590304494165
334,15.29037908718014
335,15.290191045417323
336,15.289993363358942
337,15.289797752926388
338,15.289612742543055
339,15.289409111051564
340,15.289199115827847
341,15.288986079979036
342,15.28877026566862
343,15.28853271983016
344,15.288282930149627
345,15.288022936314606
346,15.287763728206516
347,15.287510829313808
348,15.287277399720118
349,15.287069412136297
350,15.286858111385204
351,15.286642451565024
352,15.286413757601155
353,15.286190512812048
354,15.285974499868512
355,15.28574386890146
356,15.285514533613998
357,15.285271889171916
358,15.285037111080129
359,15.284767229042274
360,15.284495821114762
361,15.284223097229482
362,15.283958941370049
363,15.283679254824774
364,15.283444281262643
365,15.283206308091735
366,15.282969635320669
367,15.282749207631204
368,15.282527343906535
369,15.28231290515312
370,15.282086112001053
371,15.281857088633178
372,15.28162439508332
373,15.281408521889555
374,15.281190789240513
375,15.280971597854673
376,15.280711684001016
377,15.28046061439104
378,15.280224512741588
379,15.279963781732848
380,15.279688147860352
381,15.279424143970754
382,15.279161522300475
383,15.278906489552243
384,15.278674562039557
385,15.278443004451592
386,15.278219379036468
387,15.278005239410632
388,15.27778730401186
389,15.277556345473924
390,15.277311657388575
391,15.277071674267544
392,15.27683634828561
393,15.276591159786157
394,15.276354525287312
395,15.276135809328695
396,15.275900350468067
397,15.275666077798174
398,15.27543124734422
399,15.275193290019034
400,15.274948312751647
401,15.274704557316015
402,15.274464689111936
403,15.274237313394984
404,15.274011063300394
405,15.273798231678954
406,15.273586471058282
407,15.27337575103034
408,15.273166164641879
409,15.272972903592716
410,15.272769008062012
411,15.272561886506752
412,15.272355770395937
413,15.272130980231868
414,15.271907324203152
415,15.271687538517718
416,15.271468809494232
417,15.271274963731328
418,15.271092808867667
419,15.270904721128042
420,15.270716178996429
421,15.270496514981076
422,15.270271157225785
423,15.270037577547905
424,15.269821043823434
425,15.269609409175436
426,15.269395653327782
427,15.269182898678478
428,15.268964862769451
429,15.268738673632077
430,15.26852314914193
431,15.268289192942968
432,15.268045062719962
433,15.267792219700445
434,15.267545463770942
435,15.26730171758553
436,15.267056139737875
437,15.266811685816297
438,15.266569508294454
439,15.266328299831207
440,15.26608481773225
441,15.265842439860497
442,15.265606952827028
443,15.265373251194541
444,15.265158944751004
445,15.264946876272345
446,15.26472247612445
447,15.264498657954555
448,15.26428384443579
449,15.264063505862271
450,15.26383949003017
451,15.263600326915041
452,15.263350297128389
453,15.26309943377147
454,15.262848253131736
455,15.262598176582728
456,15.262357713565331
457,15.262118302902497
458,15.261875472603903
459,15.261633700389396
460,15.261395394933528
461,15.261157439502586
462,15.260924514210448
463,15.260692102991703
464,15.260456065390839
465,15.26021260797793
466,15.259969910218011
467,15.259728048115896
468,15.259481997852895
469,15.259235575147189
470,15.258988117916681
471,15.258741711459976
472,15.25849231530236
473,15.258246925239108
474,15.258001609969568
475,15.257757113229404
476,15.257511671651953
477,15.257267259179647
478,15.257026234910512
479,15.256782272172956
480,15.256547898196063
481,15.25631571892667
482,15.256091308984624
483,15.255871375166821
484,15.255657531398713
485,15.255439651924284
486,15.255220808796187
487,15.254992609013561
488,15.254763986223892
489,15.254535204170551
490,15.25431321377001
491,15.254095497184773
492,15.253876999479722
493,15.253660449150273
494,15.25343861661248
495,15.253217680367769
496,15.252997634995014
497,15.252779549595237
498,15.252568516425667
499,15.252354774675961
500,15.252139774053607
501,15.251929429342667
502,15.251724019763074
503,15.251514045889586
504,15.25130877602054
505,15.25110053421073
506,15.250899907114963
507,15.250698947892076
508,15.25050249385818
509,15.250307186202852
510,15.250119427825176
511,15.24992461024777
512,15.249726826504348
513,15.249529813847646
514,15.249335102523336
515,15.249141147359508
516,15.248951262869356
517,15.248765813937188
518,15.248579302271539
519,15.248395394907291
520,15.24821527554313
521,15.248035847616066
522,15.247848489736397
523,15.247663577269103
524,15.247479370574586
525,15.247296191213572
526,15.247116637945776
527,15.246938508388283
528,15.246760354370675
529,15.246577184614628
530,15.246393208028305
531,15.246211531123503
532,15.246027113142969
533,15.24584771870028
534,15.245668388085662
535,15.245489075592111
536,15.245305812861432
537,15.245128558789602
538,15.244951950483726
539,15.244773315648134
540,15.244597986708255
541,15.244425051306926
542,15.244252314632892
543,15.244076027840242
544,15.243899466878448
545,15.243723074610333
546,15.243551774274035
547,15.243381100264376
548,15.243203599944449
549,15.243034544369928
550,15.242870962990681
551,15.242707149281891
552,15.242545206098315
553,15.242383848604373
554,15.242229212477913
555,15.242079661807981
556,15.241934046980784
557,15.24178757418834
558,15.241640686828436
559,15.241496717594954
560,15.241342916282854
561,15.241188439995533
562,15.241033845863106
563,15.240874855443357
564,15.240717169205112
565,15.24056262825258
566,15.240418664603238
567,15.240267674008322
568,15.240113063273503
569,15.239964863336821
570,15.239815778479818
571,15.239671823112486
572,15.239528780685811
573,15.23937917226886
574,15.239227243802185
575,15.239075843782352
576,15.238920800675793
577,15.238765703807685
578,15.238614661222613
579,15.238464564120578
580,15.238317163861993
581,15.23816771446272
582,15.238018778635269
583,15.23787838091278
584,15.237747339373982
585,15.237613934589644
586,15.237485095480864
587,15.237362686320177
588,15.237237888916644
589,15.237118162707652
590,15.236995968492588
591,15.236868082544008
592,15.236757012934138
593,15.236645055819546
594,15.236522002420422
595,15.23640575430074
596,15.236267865767994
597,15.236138106220215
598,15.236008893604827
599,15.235880112417204
600,15.235751760500207
601,15.235617948430075
602,15.23548262949539
603,15.235346836336802
604,15.235212605931997
605,15.235080517436591
606,15.234948864876813
607,15.234821074489394
608,15.234693704465093
609,15.234563251293858
610,15.234426609033946
611,15.234292364624276
612,15.23418340310889
613,15.234071112041667
614,15.233953932501318
615,15.233824064992188
616,15.23369597972908
617,15.23356830965321
618,15.233438909027754
619,15.233308470916098
620,15.233170666294995
621,15.233031153834546
622,15.23289075140997
623,15.232748502581693
624,15.232608140392816
625,15.232468227362943
626,15.232326451233375
627,15.232191887013455
628,15.232057751342008
629,15.23192404217508
630,15.23178112657999
631,15.231629929586319
632,15.231480413771067
633,15.231331370359653
634,15.231182037231841
635,15.231032532753714
636,15.230883429706564
637,15.230734794800851
638,15.23059352148875
639,15.230451289302348
640,15.230319769714868
641,15.230190270015111
642,15.230059905987538
643,15.229931124127365
644,15.229803156989806
645,15.229674980421088
646,15.229545279177435
647,15.229415978864983
648,15.229287692968626
649,15.229158606900553
650,15.229033637900963
651,15.228911715837434
652,15.228791131484604
653,15.228670916455979
654,15.228562147078376
655,15.228453709821009
