Alpha,Energy,Energy2,Variance,AcceptRatio,ElapesdTime
0.2,12939.044382264427,167418869.5262086,1,1,777.2982396s
0.3,7034.031790422372,49477603.228672564,1,1,780.2891457s
0.4,4863.743089755577,23655996.843145125,1,1,783.7301971s
0.5,-0.99999,0.9999800001000001,1,1,786.6410401s
0.6,-4793.732115194705,22979867.592249103,1,1,789.5771743s
0.7,-17663.470209964707,311998179.85831064,1,1,792.6036872s
0.8,-31751.063564954795,1008130037.5057999,1,1,795.2875042s
0.9,-35939.16182745049,1291623352.8596742,1,1,798.0050198s
