Alpha,Energy,Energy2,Variance,AcceptRatio,ElapesdTime
0.2,15500.103881329298,240253220.33199957,1,1,977.4069792s
0.3,10900.643377397004,118824026.04118916,1,1,1064.1971196s
0.4,5833.173328306034,34025911.078060895,1,1,1158.9506537s
0.5,-99.999,9999.800001,1,1,1245.7797861s
0.6,-7121.384267426793,50714113.88435384,1,1,1334.7403714s
0.7,-15745.968679814627,247935529.66570318,1,1,1412.4194531s
0.8,-26316.017932754086,692532799.8370347,1,1,1490.6895739s
0.9,-37494.71414268055,1405853588.6413286,1,1,1572.5236775s
