Alpha,Energy,Energy2,Variance,AcceptRatio,ElapesdTime
0.2,8440.838667073465,71247757.40356256,1,1,174.1456557s
0.3,6517.988693772111,42484176.61214107,1,1,257.1542149s
0.4,2844.9380809310924,8093672.6843318865,1,1,345.4374741s
0.5,-49.9995,2499.95000025,1,1,431.7588082s
0.6,-2878.85911076055,8287829.779609024,1,1,517.3464281s
0.7,-8135.996701528232,66194442.32727827,1,1,607.1986204s
0.8,-14223.978279474219,202321558.09495434,1,1,689.1070994s
0.9,-22044.50236468543,485960084.5066216,1,1,773.5227377s
