Alpha,Energy,Energy2,Variance,AcceptRatio,ElapesdTime
0.2,6588.208042173704,43404485.206962265,1,1,28.2292482s
0.3,3976.2857924472864,15810848.703218145,1,1,38.4550083s
0.4,2440.744801176102,5957235.184468171,1,1,48.0855065s
0.5,-4.99995,24.9995000025,1,1,57.1483591s
0.6,-4196.5808831451295,17611291.108779155,1,1,67.2328243s
0.7,-7678.620963334965,58961219.89856719,1,1,76.5950323s
0.8,-13196.281597475081,174141847.99985948,1,1,85.6731389s
0.9,-14420.494166522192,207950652.00670058,1,1,94.4843703s
