Alpha,Energy,Energy2,Variance,AcceptRatio,ElapesdTime
0.2,25748.675963771442,662994313.8873012,1,1,1613.4059951s
0.3,16492.522909715313,272003311.92748445,1,1,1624.3432614s
0.4,12102.88535317104,146479833.87200207,1,1,1635.5141569s
0.5,-14.99985,224.9955000225,1,1,1647.2070562s
0.6,-14676.095618930416,215387782.61598855,1,1,1659.0322311s
0.7,-23815.28631725742,567167862.3729485,1,1,1671.9731023s
0.8,-42708.24431892747,1823994132.8052006,1,1,1682.008683s
0.9,-43620.28214869403,1902729014.7316751,1,1,1696.0153467s
