Alpha,Energy,Energy2,Variance,AcceptRatio,ElapesdTime
0.2,12333.944309091288,152126182.21976537,1,1,808.8899615s
0.3,12644.99966358139,159896016.49197346,1,1,820.9836642s
0.4,5807.764069059317,33730123.481856436,1,1,833.3599425s
0.5,-9.9999,99.99800001,1,1,843.6693161s
0.6,-9063.309917250299,82143586.65612762,1,1,853.7510352s
0.7,-15137.02843860311,229129629.95107934,1,1,863.9088641s
0.8,-23900.658442367665,571241473.9787208,1,1,873.8631853s
0.9,-31095.686585178388,966941724.2036431,1,1,884.0025398s
