Alpha,Energy,Energy2,Variance,AcceptRatio,ElapesdTime
0.2,3214.4227193235133,10332513.41850317,1,1,2.6225694s
0.3,21961.567857453076,482310462.7575161,1,1,5.4535987s
0.4,1464.3498637646394,2144320.5235075178,1,1,8.1012243s
0.5,-0.499995,0.24999500002500002,1,1,9.5709638s
0.6,-806.0861119423698,649774.8198663668,1,1,12.3266461s
0.7,-7117.912789814611,50664682.48340642,1,1,14.9511892s
0.8,-7855.5183367849895,61709168.33956521,1,1,17.3763879s
0.9,-13205.659611080933,174389445.76373422,1,1,19.6624805s
