Alpha,Energy,Energy2,Variance,AcceptRatio,ElapesdTime
0.2,21462.49918847148,460638871.41513896,1,1,1577.8213149s
0.3,24391.437796359314,594942237.7736657,1,1,1581.6059136s
0.4,11097.274023338909,123149490.74907252,1,1,1584.2809789s
0.5,-1.499985,2.2499550002249995,1,1,1587.3792077s
0.6,-4444.33608934079,19752123.275016986,1,1,1590.8669813s
0.7,-18726.766720741332,350691791.81306505,1,1,1594.0836432s
0.8,-25050.970066294074,627551101.2623618,1,1,1597.708832s
0.9,-110128.46754674758,12128279364.195034,1,1,1601.2997592s
