Alpha,Energy,Energy2,TimeElapsed
0,67.77500023958858,6181.375203510074,1.1787412s
0.01,9.452824241094268,128.63901819350704,1.1916181s
0.02,480.258958471753,275780.9177876663,1.2003945s
0.03,220.2618792094519,62021.28577491325,1.2109149s
0.04,503.2745108667066,304309.24985486275,1.2276692s
0.05,776.4523049628472,709114.755925748,1.2448597s
0.06,819.1386353268819,773958.1643594264,1.2575206s
0.07,392.72705519372306,230688.39968313513,1.2660876s
0.08,541.6876411710797,372187.9881000618,1.278919s
0.09,524.1008584680952,364693.235865939,1.2896615s
0.1,718.2033596064305,625923.2008422846,1.3017734s
0.11,994.6257273329584,1146235.7666851322,1.3113039s
0.12,1216.9618285314407,1607085.5462133908,1.3176654s
0.13,657.535124806153,514421.1083807622,1.3245679s
0.14,890.1263484585247,893293.786416667,1.3415015s
0.15,847.7439054483563,844486.9044734108,1.3663291s
0.16,852.3206626914501,832134.7031617818,1.3847627s
0.17,701.7412416334633,572580.2434936654,1.398029s
0.18,718.7633344867091,607917.6083672566,1.4100105s
0.19,823.6327346844585,724921.623109359,1.4224899s
0.2,641.3255101668947,478983.21764403663,1.4376566s
0.21,531.3238893327672,348700.3634960374,1.4445695s
0.22,696.4016639252771,530121.8084296797,1.4604225s
0.23,758.9397907128707,585197.0014516966,1.4772417s
0.24,686.7745609072596,496238.63266537845,1.4920742s
0.25,705.2750207200405,513043.04705214733,1.4996643s
0.26,519.2148036132843,308193.0623045288,1.5089248s
0.27,633.9517029998487,418457.4851067298,1.5215089s
0.28,496.33269978986004,275941.5358145496,1.5315872s
0.29,629.2068357427612,397476.32669457106,1.5473989s
0.3,592.2065550711608,356643.2892368906,1.5572946s
0.31,478.1339243217788,252662.09942478169,1.5738108s
0.32,566.6700185602568,327463.4868776474,1.5899369s
0.33,536.9317007639539,297201.6262229948,1.5993701s
0.34,546.0734083477331,298456.01643338235,1.6139873s
0.35000000000000003,520.9962071889621,276031.57102113887,1.6202147s
0.36,481.58522494918213,238409.34767654006,1.6294748s
0.37,468.17830730537514,225298.55912340074,1.6452171s
0.38,504.194558844547,254212.15316844828,1.6640894s
0.39,480.9954338184168,231644.79777349578,1.6829727s
0.4,468.6548490524349,219699.2833650687,1.6989958s
0.41000000000000003,431.36128786822917,189344.0675041379,1.7089056s
0.42,440.97863020212776,195496.59323579876,1.7283413s
0.43,442.43562796302973,196930.6427097878,1.7414824s
0.44,423.48866206061274,179761.2045417978,1.7548073s
0.45,433.7489752123397,188765.7613737911,1.7693274s
0.46,406.2358408223951,165142.91012363177,1.7841441s
0.47000000000000003,402.8582054455932,162294.73369484404,1.7897217s
0.48,394.5359234483041,155658.59489120665,1.7986343s
0.49,380.84097997018233,145078.76821249974,1.8153032s
0.5,390.21385542213113,152321.55291052008,1.820684s
0.51,367.3450473058086,134942.3837801068,1.8351256s
0.52,359.0173869559244,130110.57967568023,1.8536549s
0.53,355.95922353069903,126784.33547074832,1.8640964s
0.54,348.1055525077344,121177.47568671551,1.8734108s
0.55,363.6871535834192,132376.4143292891,1.8831388s
0.56,341.4093571251152,116563.07936112837,1.8941323s
0.5700000000000001,319.1493496938566,102514.73957066065,1.9107127s
0.58,322.85472540173276,104482.8068686076,1.9284017s
0.59,324.8479299265432,105527.04891450735,1.9442002s
0.6,312.0155358520939,97353.69461306943,1.9675407s
0.61,310.5712156849542,96454.48001202954,1.9749083s
0.62,303.0645377973932,91848.11407034831,1.9855723s
0.63,314.9748259030283,99209.14095264299,1.9974437s
0.64,300.65624664953725,90412.31961904516,2.0093657s
0.65,288.02283135517774,82957.15138185282,2.0176706s
0.66,287.1340167149345,82445.94355485214,2.0246171s
0.67,287.11726867506974,82436.32597143218,2.0385667s
0.68,282.9155923042828,80041.2323688835,2.0550501s
0.6900000000000001,279.482514067321,78110.47566939081,2.066347s
0.7000000000000001,270.57083386193614,73208.57613674297,2.0820391s
0.71,282.5924686640898,79858.50334566458,2.1009045s
0.72,259.7652956649808,67478.00883191537,2.1069368s
0.73,256.44076518606744,65761.86604921591,2.125393s
0.74,266.3236139170293,70928.26732982694,2.1320075s
0.75,259.5230036391367,67352.18941787911,2.1578627s
0.76,257.0857889717235,66093.10289121402,2.1820832s
0.77,244.35890591859712,59711.27490173373,2.2083401s
0.78,239.10705661791823,57177.47458901505,2.2157333s
0.79,236.110087934995,55747.9736246711,2.2315867s
0.8,248.4099118282165,61707.48429450205,2.2516532s
0.81,235.3857872630504,55406.46884544573,2.2796973s
0.8200000000000001,231.77485971896746,53719.585597747006,2.2954654s
0.8300000000000001,224.77530597322138,50523.93817535538,2.3139401s
0.84,229.05151343967273,52464.595809004284,2.3301327s
0.85,221.8582578355154,49221.08656980997,2.3527917s
0.86,224.8947382279329,50577.64328261028,2.3710752s
0.87,221.2220893913072,48939.212834655365,2.3790245s
0.88,227.10583437223997,51577.06000591155,2.3955559s
0.89,213.31807834009282,45504.60254670968,2.4099269s
0.9,216.36240721860565,46812.691257429564,2.4241703s
