Alpha,Energy,Energy2,TimeElapsed
0,25.04650781649015,627.3275538015021,603.0617457s
0.01,18.968700349468307,359.81159294791905,603.2230304s
0.02,16.981733119994196,288.3792597587078,603.3584978s
0.03,14.47718238821433,209.58880990162314,603.489168s
0.04,14.22384005733564,202.31762597666594,603.607224s
0.05,29.609624780755667,876.72987965714,603.7131706s
0.06,14.256595962201068,203.2505284294478,603.8128376s
0.07,24.212719639797555,586.2557923554383,603.9227471s
0.08,18.72439086338735,350.6028132049036,604.0225337s
0.09,17.07909112725621,291.69535373312175,604.1378533s
0.1,12.675395243858183,160.66564458802264,604.2688421s
0.11,17.75864061841585,315.3693166140493,604.4091852s
0.12,18.687534504758116,349.2239458665251,604.5775568s
0.13,13.938955834293806,194.29448975039332,604.7082636s
0.14,13.408526153756494,179.78857361597193,604.8512161s
0.15,14.813595392990605,219.44260846723247,604.9728468s
0.16,16.390569710169636,268.6507754239303,605.0900519s
0.17,14.542480799598575,211.4837478066932,605.2113928s
0.18,19.11331505039238,365.31881221555585,605.338741s
0.19,15.739623164923263,247.735737373789,605.5012742s
0.2,12.05753670857537,145.38419147864255,605.6441541s
0.21,16.743934021515578,280.3593265168668,605.774852s
0.22,13.907841526498629,193.4280559261997,605.9176753s
0.23,16.60900161983287,275.8589348076109,606.0816678s
0.24,14.017504744113532,196.4904392512454,606.2694523s
0.25,12.337918739938676,152.22423883332996,606.4147938s
0.26,14.861585605685887,220.86672671512994,606.5404548s
0.27,13.828380936180745,191.22411931612706,606.664606s
0.28,15.574462839617443,242.56389274262463,606.7974541s
0.29,14.74500868410787,217.41528109441649,606.9813658s
0.3,15.400718636426339,237.18213451836954,607.1879329s
0.31,13.466174971933967,181.33786837474076,607.3313847s
0.32,13.918264937515275,193.71809887086707,607.5328912s
0.33,15.139027560966243,229.19015549169552,607.6507756s
0.34,14.480713868920946,209.6910741535594,607.8221793s
0.35,14.097026530819061,198.7261570106165,607.9536394s
0.36,14.180269841817614,201.08005278676214,608.0673674s
0.37,13.980565895006388,195.45622274461576,608.1752949s
0.38,15.008669308024833,225.26015439764663,608.2809776s
0.39,14.310644223869982,204.79453810218328,608.3901145s
0.4,14.08182074295615,198.2976754367501,608.5297159s
0.41,15.01866128247731,225.560186717783,608.628014s
0.42,14.460910350732544,209.1179281719236,608.7288356s
0.43,15.21095812135435,231.37324696959587,608.8118424s
0.44,14.425641246764428,208.09912538035115,608.9165948s
0.45,14.659986714052579,214.91521045619814,609.0106851s
0.46,14.525028919685328,210.9764651176951,609.1002082s
0.47,14.779818646385571,218.44303922004661,609.1947264s
0.48,14.82569175223242,219.8011359322124,609.2835922s
0.49,14.937510145030759,223.12920933289683,609.3828585s
0.5,15,225,609.4868046s
0.51,15.09059587337374,227.72608381348456,609.5801262s
0.52,14.894412913598932,221.84353604078265,609.6880148s
0.53,15.407155915088254,237.38045339183896,609.7848916s
0.54,15.705605394702303,246.66604081410208,609.9014315s
0.55,15.603088211135773,243.45636172448414,610.005531s
0.56,15.445837006631194,238.5738808354177,610.1168847s
0.57,14.633633023639264,214.14321547054564,610.2150818s
0.58,15.876791790873856,252.07251757075946,610.3281468s
0.59,14.74069764272371,217.28816699420034,610.4616334s
0.6,14.076911800023197,198.15944582563233,610.5875571s
0.61,16.466767442922894,271.1544300193054,610.6895873s
0.62,15.533016385084224,241.27459801929498,610.7778093s
0.63,16.025144834064466,256.80526695274307,610.8659927s
0.64,14.672111596422893,215.27085869788712,610.980519s
0.65,14.690123617481111,215.79973189687632,611.0750711s
0.66,15.726511627696327,247.3231679760678,611.1687958s
0.67,17.617647036219818,310.38148709282495,611.2855808s
0.68,17.843548861401278,318.3922359692148,611.402928s
0.69,17.916175994347427,320.989362260431,611.4914972s
0.7,16.979113143405037,288.2902831365497,611.5775938s
0.71,16.69881401856544,278.85038962663765,611.6832728s
0.72,16.99973848616193,288.99110859789516,611.7879379s
0.73,17.807640751421534,317.1120691316889,611.8901246s
0.74,16.820025997020153,282.9132745404338,611.9854922s
0.75,18.771609908000308,352.37333853813533,612.0999226s
0.76,16.556871289131074,274.1299868848529,612.1751674s
0.77,18.453621784951288,340.5361569820288,612.267851s
0.78,16.40318283115044,269.0644069921485,612.3987097s
0.79,15.598427148714126,243.3109295137419,612.5049982s
0.8,18.45148950959118,340.4574651225534,612.5866954s
0.81,18.03324194044099,325.19781488248,612.6713907s
0.82,20.949164641882692,438.867499192708,612.7515428s
0.83,15.866204053309415,251.73643106125212,612.8344664s
0.84,19.64356439352552,385.8696220825836,612.9246417s
0.85,14.796379491331768,218.93284605150336,613.0179834s
0.86,13.50841110496451,182.4771705807285,613.1284661s
0.87,17.615673906284,310.31196717253505,613.2013103s
0.88,15.736219061341595,247.62859034653056,613.2746258s
0.89,18.350960814862006,336.75776282860085,613.3873664s
