Alpha,Energy,Energy2,TimeElapsed
0,33.12053645973338,1096.969935380528,621.8120418s
0.01,38.50186068470502,1482.3932761844342,629.3915524s
0.02,40.21896312970481,1617.564995228555,637.4740826s
0.03,36.32111615007369,1319.223478387144,645.7327071s
0.04,39.06968283546229,1526.4401168636166,653.4469324s
0.05,45.403401477187906,2061.468865698709,660.7978673s
0.06,49.94749710775234,2494.7524673289286,668.0274936s
0.07,45.90403673047291,2107.180588152606,675.3183172s
0.08,56.83423456512416,3230.130218603554,682.9771064s
0.09,58.606489095673766,3434.720564121328,690.9125187s
0.1,61.189023242765025,3744.0965654036386,699.1676148s
0.11,56.412782206693805,3182.401996299869,706.9129686s
0.12,61.54017860107575,3787.193582252302,714.9122952s
0.13,72.31349822972795,5229.242026220868,722.6881605s
0.14,65.75385404404443,4323.569321645498,730.1068018s
0.15,73.48794969978951,5400.478751078793,737.7996523s
0.16,74.11232058970177,5492.636063190733,745.6983102s
0.17,75.21865902246265,5657.846665137501,753.612197s
0.18,79.55131679162308,6328.4120032811725,761.1072561s
0.19,79.82789891010663,6372.493444402203,768.7283895s
0.2,79.47510750923396,6316.292713604297,776.627005s
0.21,85.0620763598698,7235.556834652321,786.6660397s
0.22,87.26062737899139,7614.417090575182,797.1572303s
0.23,88.11935405203923,7765.020558548642,805.1833098s
0.24,90.58692324450726,8205.99066290625,814.4241627s
0.25,94.33739608313552,8899.544299746392,824.0912383s
0.26,98.75714408688808,9752.973508198373,831.9796852s
0.27,100.61441717466617,10123.26094339776,839.458801s
0.28,102.5146217478003,10509.24767209457,846.9974465s
0.29,104.69459530513417,10960.958286105822,854.065175s
0.3,105.61695937853075,11154.942108366215,861.9082091s
0.31,109.28796483081695,11943.859256861882,869.3661766s
0.32,110.01571837067578,12103.45828861585,876.5570766s
0.33,113.32093177968129,12841.63357941518,884.03791s
0.34,113.82557718592894,12956.262021709867,892.3898493s
0.35,116.15235430756832,13491.369411190884,899.1643897s
0.36,117.98512383382192,13920.489446082292,906.0827511s
0.37,122.89993428649628,15104.393847625102,913.815349s
0.38,123.04748366781406,15140.683236980969,920.9752432s
0.39,126.51984769694153,16007.271861257279,928.09226s
0.4,128.43069511294183,16494.443447193422,935.2527155s
0.41,129.36468768231833,16735.222419143764,942.509391s
0.42,132.49437103234928,17554.758355257836,949.1888138s
0.43,135.291388401604,18303.75977563367,956.6638233s
0.44,136.80778879467164,18716.371074887484,963.5197455s
0.45,139.0402896411428,19332.202143492883,972.6054627s
0.46,141.52395146132858,20029.02883722849,982.0962846s
0.47,143.22708294031756,20513.997287592603,989.2714824s
0.48,145.77208936066577,21249.50203657393,996.2801562s
0.49,147.83189620640954,21854.269535982643,1002.9766432s
0.5,150,22500,1009.5015646s
0.51,152.1138560262875,23138.62519518612,1016.1294706s
0.52,154.16209361405424,23765.951107468423,1023.4032655s
0.53,156.18733581948746,24394.48387038935,1029.3760071s
0.54,158.5391204681308,25134.652718808487,1036.0386334s
0.55,160.1280060241935,25640.978313284148,1043.2409308s
0.56,162.43556348633484,26385.312285123116,1049.7973934s
0.57,164.3023837623904,26995.27331000381,1056.7841261s
0.58,166.77785165781756,27814.851803597,1063.6491616s
0.59,168.24028841777985,28304.79464689775,1070.8646157s
0.6,170.57630950303206,29096.277363674188,1077.6709171s
0.61,173.28390243645177,30027.310843605734,1083.5654389s
0.62,174.68389284537713,30514.4624196152,1090.7337518s
0.63,176.7353040244624,31235.367688619157,1096.9767581s
0.64,179.08044907381193,32069.80724047815,1102.7760102s
0.65,181.1908383938998,32830.119917884316,1108.6993036s
0.66,182.2265137064853,33206.502297619874,1114.5437823s
0.67,182.85816983401867,33437.11027504681,1120.47475s
0.68,187.4263145800221,35128.62339704941,1126.5450614s
0.69,190.93062204683028,36454.502435189555,1132.5787259s
0.7,188.66816281025376,35595.67565819642,1138.8872521s
0.71,191.36016379180714,36618.71228642725,1145.3285686s
0.72,195.14832810135366,38082.869960753575,1153.9147266s
0.73,197.07121650239563,38837.064373734094,1161.6910312s
0.74,199.3251221154021,39730.50430631996,1168.7752272s
0.75,201.22369503996723,40490.97544553773,1174.3159212s
0.76,201.73853122303257,40698.43498002648,1180.711427s
0.77,205.51230355755376,42235.30691353213,1186.8381501s
0.78,203.30254196277122,41331.92356852435,1192.9718361s
0.79,205.87710156313904,42385.38094803906,1199.4820658s
0.8,210.82961561936187,44449.12682220788,1204.9845459s
0.81,210.35690058333492,44250.02562302705,1211.0796002s
0.82,216.46312983761584,46856.28657909653,1217.7586873s
0.83,217.66530400910557,47378.184569376346,1223.4959302s
0.84,216.96904463214753,47075.56632858683,1228.9701476s
0.85,216.9544138330591,47069.21768164627,1235.368041s
0.86,219.82976710293462,48325.126504530475,1241.9707088s
0.87,222.168579871666,49358.877882192835,1247.7825377s
0.88,224.87050518318884,50566.744101342556,1253.5114052s
0.89,228.41947557707303,52175.456822905064,1259.960322s
