SGDStep,Alpha,Energy
0,0.2,26.596206644406546
1,0.21569184332630198,27.820226166724364
2,0.22487962158070582,17.56107939317305
3,0.22642815439997138,21.89451387177644
4,0.2407011055317203,20.536834493573952
5,0.25308742328730255,20.647170598648444
6,0.25928339212888235,25.281237726547065
7,0.2650002907568169,21.65975020048091
8,0.2683921169571114,20.037691906527453
9,0.27756240130552784,21.383249887313674
10,0.2791634490016938,19.96873807589487
11,0.28090555993873406,21.805013996462293
12,0.28672919183313983,28.5244966360065
13,0.29277471617323464,22.55017961112737
14,0.30253898453228123,22.06810740720247
15,0.3053020340332288,26.561171543892577
16,0.3098116551781701,23.417357562946055
17,0.32095807432428985,25.50523026637997
18,0.32799346438313043,23.509530775180856
19,0.33099128119256765,23.638251740639795
20,0.3329780230293197,23.75407134076384
21,0.33872653262900043,23.42535062475564
22,0.3409989694573249,22.24738808257463
23,0.3452664902153199,23.495407534507542
24,0.3564370277698559,21.836824272883383
25,0.35713055509319913,23.0969357143393
26,0.35838898295798927,24.07290042375695
27,0.3729475584368823,23.251279056496887
28,0.3753351153725178,23.057008427708155
29,0.37592945715185005,24.315408591958438
30,0.3770659709355759,23.257541451506018
31,0.37778912337965787,22.56799267584836
32,0.3813915405329917,22.57774298872844
33,0.38267701888016964,21.136781667732247
34,0.38308017237729597,23.0178996710433
35,0.3838912136422743,23.767193094269967
36,0.3852137927419974,22.980199523971546
37,0.38682447836052214,23.176253915433943
38,0.3871197436341343,24.0753483861598
39,0.3874630193595578,23.01200019621415
40,0.3900117615725637,23.266762759487985
41,0.39427162183060355,23.395133468366403
42,0.39647778642599885,22.79526329097501
43,0.3981926345996224,22.727755504479283
44,0.39967632272239995,22.708014001730607
45,0.4004576906754194,23.428526683777886
46,0.403051057356684,22.807899984855517
47,0.4063756763128562,22.57664650526228
48,0.40712792292727884,23.303091816188346
49,0.4100314968198558,24.88961436460261
50,0.4109930964944434,24.471321938118216
51,0.41127407056041376,23.222278756304252
52,0.4116261155326869,23.25031674741966
53,0.41316628504146347,23.98204135794774
54,0.4138937813178865,23.22441905382739
55,0.4162134283008568,24.508874010636525
56,0.4167788277721437,25.02232139095165
57,0.42244611296848733,23.224093384505125
58,0.42310950289993804,23.224111380013614
59,0.42392877787300665,23.34784961187481
60,0.42435193119293235,23.20431125187891
61,0.42530554480773486,23.065612856798246
62,0.4270012519825057,23.54469603736679
63,0.4275905797683765,23.25598868175033
64,0.42802855726013633,23.05726579080906
65,0.4283575041338102,24.191189823511817
66,0.4294250994455725,23.80880047645111
67,0.42989674100376835,22.994614102392894
68,0.430109697564421,24.352028656913326
69,0.43159105328905517,23.744029666667053
70,0.4324920915405561,23.719557556003625
71,0.43317405994236335,24.435236478996718
72,0.43406202006660394,24.832961165761713
73,0.4413949080333407,23.85308943365693
74,0.4434375683549857,23.91135296973997
75,0.4440306908811455,24.428476634701365
76,0.44513261842621066,24.151157061647858
77,0.4462573944302447,24.32242873185873
78,0.4478026543087608,23.75422721510516
79,0.4477326044973423,23.035097778790124
80,0.4480656882517907,23.69068607312608
81,0.4484322872241644,24.15854234815764
82,0.4496270790625947,23.57764659545595
83,0.4503854928295705,23.739435916662078
84,0.4520757522419416,23.893709601145716
85,0.4521856306600824,24.857200391361353
86,0.4535329018824111,23.711920886428416
87,0.4535656789422623,23.39175803034732
88,0.4540319810390892,24.297381584490072
89,0.45454695509467624,24.30883882409967
90,0.45579358936095554,24.019361918267126
91,0.4559967734388835,24.54164183629856
92,0.45620105283580836,23.770120915370686
93,0.4567644605365236,23.926722104701852
